Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of outcome assessment (detection bias),Domain (support): Blinding of outcome assessment (detection bias),Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Recruitment bias,Domain (support): Recruitment bias,Domain (judgement): Baseline imbalance in outcome measurements or characteristics,Domain (support): Baseline imbalance in outcome measurements or characteristics,Domain (judgement): Protection against contamination,Domain (support): Protection against contamination,Domain (judgement): Incorrect analysis,Domain (support): Incorrect analysis,Domain (judgement): Risk of bias overall,Domain (support): Risk of bias overall
Allison 2005,Low risk,<p>Computer-generated random sequence</p>,Low risk,<p>First physician in a practice to log on was randomised and others in the same practice were subsequently allocated the same arm. Allocation likely concealed</p>,Low risk,<p>Routine electronic data collected</p>,Low risk,<p>No loss of outcome data</p>,Low risk,"<p>Adequately reported as described in methods, no protocol available</p>",High risk,<p>Randomisation was performed when the first physician from an office recruited. Others may have been recruited from the same office after that and may have been aware of group allocation at that point.</p>,Low risk,"<p>No differences in baseline characteristics.<br>Although there were few differences between groups in baseline outcomes, these were adjusted in the analysis.</p>",Low risk,<p>All physicians from the same office allocated to the same group</p>,Unclear risk,"<p><br>GEE used which can adjust for clustering, but adjustment for clusters not clearly reported</p>",High risk,<p>Recruitment bias judged as high risk; incorrect analysis judged as unclear</p>
Althabe 2008,Low risk,<p>Computer-generated random sequence (see supp file)</p>,Low risk,"<p>The article stated that the allocation sequence was randomly selected. The Protocol stated that 'the allocation procedure will be done by an independent data center (Research Triangle Institute, North Carolina, USA) and their results communicated to the study coordinating unit. Thus, there will be a clear separation between the generator of the intervention<br>allocation and the study coordination'.</p>",High risk,"<p>Unlikely that all outcome assessors were blind, and some outcome measures (e.g. measuring amount of blood and self-administered questionnaire) could be subject to bias.</p>",Low risk,<p>No hospitals lost to follow up. Outcomes for all hospitals reported as planned. Small proportions of missing data in questionnaires about readiness to change (secondary outcome) in intervention group (5.3%) and control group (2.1%). ITT analysis was used.</p>,Low risk,<p>All outcomes between the protocol and the study appear to be consistent.</p>,Low risk,<p>Recruitment did not occur after randomisation.</p>,Low risk,<p>Baseline was reasonably balanced.</p>,Low risk,"<p>Due to the cluster design, contamination is unlikely.</p>",Unclear risk,<p>Adjustments to take clustering into account is not clearly described in methods.</p>,High risk,<p>Due to blinding</p>
Althabe 2019,Low risk,<p>It is likely an adequate randomisation method was used. Quote: assigned clinics to groups using a covariate-constrained randomisation procedure</p>,Low risk,<p>Allocation was performed centrally at one time.</p>,High risk,"<p>Blinding of outcome assessors not clearly reported. Some outcomes self-reported by patients, leading to potential for detection bias</p>",Low risk,<p>No loss of clusters or missing outcome data</p>,Low risk,<p>Primary outcomes reported are consistent with registered protocol NCT02353117.</p>,Low risk,<p>Unlikely individuals recruited to the trial after clusters randomised</p>,Low risk,<p>Baseline appears balanced between groups.</p>,Low risk,"<p>Due to cluster design, contamination is unlikely.</p>",Low risk,<p>Analysis took into account clusters.</p>,High risk,<p>Due to blinding</p>
Amanyire 2016,Low risk,<p>Computer-generated random sequence</p>,Low risk,<p>Likely that allocation was performed by statistician and concealed to participants and other personnel</p>,Low risk,"<p>Although knowledge of allocation was known, outcome data was collected on a programme (medical records) and a random sample verified for accuracy by research personnel. It is unlikely that the outcome data would be biased.</p>",Low risk,<p>No clusters lost to follow-up. No patient data were excluded (some outcomes were measured in a random sample of patients).</p>,Unclear risk,<p>All prespecified outcomes in the clinical trial registry are reported here. But there are also added outcomes. It is unclear why/when these outcomes were added.</p>,Unclear risk,"<p><br>As this is a stepped-wedge design, there is an unclear risk of recruitment bias as participants were recruited in waves. </p>",Unclear risk,<p>Unclear as only one baseline measure is provided.</p>,High risk,"<p>Although this study used a cluster design, there is a high risk of contamination bias as confirmed by the authors.</p>",High risk,<p>No evidence that clustering was taken into account during analysis.</p>,High risk,<p>Due to protection against contamination and incorrect analyses</p>
Anderson 1994,Low risk,"<p>Described as ""drawing lots""</p>",Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Unclear risk,<p>Unable to assess</p>,Low risk,<p>All hospitals followed up</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters, hence there is low risk of recruitment bias.</p>",Unclear risk,<p>Unable to assess</p>,Low risk,<p>No evidence of contamination</p>,Unclear risk,"<p>Logistic regression with adjustment for relevant risk factors, selected patient characteristics, and the dual sampling rates employed in large and small hospitals. Not sure if this is taking into account clustering</p>",Low risk,<p>Low risk across all important domains</p>
Aspy 2008,Low risk,<p>Sequence generated using an internet randomisation programme</p>,Unclear risk,<p>It is unclear if all clusters were allocated at the same time and there is no study flow diagram.</p>,Low risk,<p>Data were collected using chart audit even though it is not clear if the research assistant who audited all the practices at baseline and post-intervention was blind to the group allocation of the practice. Outcome as objectively assessed</p>,Low risk,<p>All 16 practices were audited at baseline and 9 months post-intervention - there was no loss to follow up.</p>,Unclear risk,"<p>Authors presented percentage (of eligible) patients who were recommended mammography (the outcome of the study). There was nothing else presented with regard to the outcome data (e.g. denominator, variance, per practice data) and it is unclear if this was pre-planned (as there was no trial registration or protocol published).</p>",Low risk,<p>Chart audit of eligible cases done by research assistant so risk of recruitment bias is low</p>,Low risk,<p>There were no differences in participant characteristics or mammography rates between the two groups at baseline.</p>,Low risk,"<p>There is no apparent risk for contamination between intervention and control sites. ""There was no overlap between intervention and usual care practices because there were 16 clinicians from 16 different practices.""</p>",Low risk,"<p>Analysis was performed ""using the Rao-Scott x2 analysis to account for clustering"".</p>",Low risk,<p>Low risk across all important domains</p>
Avery 2012,Low risk,<p>Practices allocated by an independent web-based randomisation service</p>,Low risk,<p>Access to the allocation sequence was restricted to the clinical trials unit data manager.</p>,Low risk,"<p>""All outcome data were extracted from patient records by pre-specified electronic searches and could not be altered before leaving the practice. Data were then sent electronically and automatically entered into a database on the trial manager's computer. Researchers who cleaned the data and the trial statisticians were masked to allocation."" (p. 2)</p>",Low risk,"<p>No practices lost to follow-up. ""Repeated cross-sectional design accounts for no loss to follow-up of patients.""<br>Both intervention and control groups increased by approx 8% (Fig 1, p. 4)</p>",Low risk,<p>All quantitative outcomes prespecified in the published protocol and trial registration were reported. Qualitative outcomes were reported in a separate publication.</p>,Low risk,<p>Patients identified from electronic medical records system. Individual GPs already working in practices (p. 2)</p>,Low risk,<p>Stratification and block randomisation</p>,Low risk,<p>Control practices received simple feedback but not pharmacist intervention..</p>,Low risk,<p>Clustering taken into account in analyses</p>,Low risk,<p>Low risk across all important domains</p>
Awad 2006,Unclear risk,<p>Randomisation method not described</p>,Unclear risk,<p>It is unclear if all clusters were allocated at the same time and there is no study flow diagram.</p>,Low risk,<p>Retrospective collection from records. Patient records unlikely to be recorded with bias</p>,Low risk,"<p>No clusters missing. Retrospective data collection, appears to be no missing data</p>",Low risk,<p>Reporting appears complete but no protocol or trial registration to check</p>,Unclear risk,<p>Unclear when randomisation occurred or if new practitioners recruited during study period</p>,Low risk,<p><br>Baseline values for key outcomes similar between groups</p>,Low risk,<p>Clustering performed by the health centre - unlikely contamination</p>,Low risk,<p>Analysis adjusted for clusters</p>,Unclear risk,<p>Unclear risk across important domains</p>
Ayieko 2011,Unclear risk,<p>Not enough information to determine sequence generation</p>,Low risk,<p>Allocation appears adequately concealed.</p>,Low risk,"<p>Although data collectors could not be blinded, independent re-evaluations showed high internal consistency and structured forms and SOPs were used, so unlikely that outcome assessment was biased</p>",Low risk,"<p>No hospital lost to follow-up in either treatment or control group (Figure 2 trial profile). Median number of children per hospital excluded from analysis reasonably similar: 158 (treatment), 133 (control)</p>",Low risk,<p>The study protocol includes 'surveys' at 6-month intervals (up to 33 months). Results included in research article report data at baseline (survey 1) and 18 months (survey 4). The authors explain the difference (see quote) and this was judged to be low risk of bias.</p>,Low risk,"<p>No participants were recruited to the study post-randomisation, hence there is a low risk of recruitment bias.</p>",Unclear risk,"<p>Some baseline variables were adjusted for, and the baseline was mostly balanced with exceptions noted. Authors note limitations in adjusting for baseline imbalances.</p>",Low risk,"<p>Restricted randomisation was used for allocation, which was not concealed. The geographical distance between participating hospitals was considerable, however, so reduced chance of contamination</p>",Low risk,<p>Appropriate analytical methods accounting for clustering were used.</p>,Low risk,<p>Low risk across all important domains</p>
Ayieko 2019,Low risk,<p>Computer-generated random sequence</p>,Low risk,<p>The trial statistician concealed the sequence from investigators until training on the new policy was conducted in all hospitals and the intervention was assigned (information taken from protocol).</p>,Low risk,<p>Participants unlikely to record outcomes with bias. Data abstractors were blinded to allocation.</p>,Low risk,<p>All 12 clusters randomised were analysed.</p>,Low risk,<p>Outcomes consistent with published protocol and trial registration</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters, hence there is low risk of recruitment bias.</p>",Low risk,<p>Similar characteristics across groups</p>,Unclear risk,<p>Authors note the potential for contamination in the control group</p>,Low risk,<p>Clustering taken into account in analysis</p>,Low risk,<p>Low risk across all important domains</p>
