Study,Outcome,Data type,Effect measure,Domain (judgement): Bias arising from the randomization process,Domain (support): Bias arising from the randomization process,Domain (judgement): Bias due to deviations from intended interventions,Domain (support): Bias due to deviations from intended interventions,Domain (judgement): Bias due to missing outcome data,Domain (support): Bias due to missing outcome data,Domain (judgement): Bias in measurement of the outcome,Domain (support): Bias in measurement of the outcome,Domain (judgement): Bias in selection of the reported result,Domain (support): Bias in selection of the reported result,Domain (judgement): Overall bias,Domain (support): Overall bias
Alsabbagh 2012,Medication adherence 6 months,Arm level,,Low risk,"<p>Comments: The term 'blinded' in this context likely refers to concealment.<br>Quote: ""The principal investigator obtained informed consent from subjects and randomized them in permuted blocks of 6 to receive either a pharmacist intervention or usual care. Group allocation codes were prepared before trial initiation using a random number table and were kept in sealed envelopes and opened sequentially for every new subject. Neither the subjects nor the researcher were blinded to the intervention.""<br>Comments: It is a study that was discontinued with fewer participants than planned, but there were no problems with the randomisation process.</p>",,,,,,,,,,
Alsabbagh 2012,Medication adherence End of study,Arm level,,Low risk,"<p>Comments: The term 'blinded' in this context likely refers to concealment.<br>Quote: ""The principal investigator obtained informed consent from subjects and randomized them in permuted blocks of 6 to receive either a pharmacist intervention or usual care. Group allocation codes were prepared before trial initiation using a random number table and were kept in sealed envelopes and opened sequentially for every new subject. Neither the subjects nor the researcher were blinded to the intervention.""<br>Comments: It is a study that was discontinued with fewer participants than planned, but there were no problems with the randomisation process.</p>",Low risk,"<p>Quote: ""Neither the subjects nor the researcher was blinded to the intervention.""<br>Comments: Although this is an unblinded study, there are no dropouts in both groups.<br>Comments: Although there is no mention of ITT in the document, the interpretation was that the number of IG and CG in baseline and outcome was the same, so all cases could be followed up.</p>",Low risk,"<p>Comments: It is stated that the patients who died were excluded soon after randomisation, so it can be concluded that randomisation was carried out with 95 patients.<br>Quote: ""Ultimately, of the 95 patients who were enrolled, 86 (90%) had also participated in the CR program. One patient died shortly after randomization, and his data were not included in the analysis.""</p>",Low risk,"<p>Comments: Adherence is measured by the medication possession ratio.<br>Comments: The likelihood of MPR being intentionally left outstanding is low.<br>Quote: ""Neither the subjects nor the researcher was blinded to the intervention.""<br>Comments: It's not clear if researchers are also evaluators.<br>Comments: MPR is receipt data.</p>",High risk,"<p>Comments: The protocol cannot be found.<br>Quote: ""Optimal adherence was defined as an MPR ≧80%, which is consistent with other studies.""<br>Comments: Multiple measures of medication adherence have been conducted while the protocol cannot be confirmed, which may be arbitrary.<br>Comments: Univariate analysis only, but no prior protocol</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>Although the study was judged to be at low risk of bias in Domains 1 through 4, there was a high risk of bias in Domain 5 (bias in selection of the reported result), which substantially lowers confidence in the results.</p>"
Bosworth 2018,Clinical measurements: diastolic blood pressure,Arm level,,Some concerns,"<p>Quote: ""The randomization scheme was generated via a uniform random number generator and loaded into the study's tracking database.""<br>Comments: This study did not include information about allocation.&nbsp;<br>Comments: Basic characteristics were not different between the two groups.</p>",,,,,,,,,,
Bosworth 2018,Clinical measurements: diastolic blood pressure End of study,Arm level,,Some concerns,"<p>Quote: ""The randomization scheme was generated via a uniform random number generator and loaded into the study's tracking database.""<br>Comments: This study did not include information about allocation.&nbsp;<br>Comments: Basic characteristics were not different between the two groups.</p>",Low risk,"<p>Quote: ""Study team personnel informed participants of their assignment in-person at completion of the baseline outcome assessment.""<br>Comments: It was not possible to blind a clinical pharmacist.&nbsp;<br>Quote: ""The study was conducted in a “real-world” environment where the initial CPS became ill and it took approximately 5 months to replace and train the 2 CPS replacements.""<br>Quote: ""For the primary analysis of CVD risk, we used a general linear model with an unstructured covariance to account for the correlation of patients' repeated measurements over time using PROC MIXED in SAS v9.4 (Cary, NC).""<br>Comments: There was no described ITT, but we can confirm the analyses included in all participants (Fig. 1). IG: included in analysis N=215, CG: included in analysis N=213.<br>&nbsp;</p>",Some concerns,"<p>Quote: ""Patients were unable to complete recruitment process due to phone outages, not showing for appointment, or being nonresponders to phone calls.""<br>Comments: This study did not provide information that the result was not biased by missing data.<br>Comments: Not provide clear information.&nbsp;</p>",Low risk,"<p>Quote: ""The medication management of diabetes followed contemporaneous American Diabetes Association standards of care.""<br>Comments: This study used the same measurements at baseline, 6 and 12 months.&nbsp;<br>Comments: The participants took the same measurement.&nbsp;<br>Comments: This study did not show that outcome assessors were blinded to the intervention group.<br>Quote: ""BMI was calculated from height and weight measurements using standardized methods at baseline, 6 months, and 12 months.""<br>Comments: BMI might be influenced. As L/D were objective data, there were not influenced.</p>",Low risk,<p>Comments: This study followed a statistical analysis plan approved by Durham Veterans Affairs Medical Center Institutional Review Board.<br>Comments: Outcome assessed according to pre-specified analysis.&nbsp;<br>Comments: This study did not provide clear information.&nbsp;</p>,Some concerns,"<p>The overall risk of bias was judged to be some concerns.<br>Some concerns were noted in the randomisation process (Domain 1), particularly due to insufficient details on allocation concealment. Concerns about missing outcome data (Domain 3) also contributed to potential bias from incomplete data. In contrast, low risk of bias was identified in deviations from intended interventions, outcome measurement, and selective reporting (Domains 2, 4, and 5). Based on these assessments, the overall judgment was classified as some concerns.</p>"
Bosworth 2018,Clinical measurements: systolic blood pressure,Arm level,,Some concerns,"<p>Quote: ""The randomization scheme was generated via a uniform random number generator and loaded into the study's tracking database.""<br>Comments: This study did not include information about allocation.&nbsp;<br>Comments: Basic characteristics were not different between the two groups.</p>",,,,,,,,,,
Bosworth 2018,Clinical measurements: systolic blood pressure End of study,Arm level,,Some concerns,"<p>Quote: ""The randomization scheme was generated via a uniform random number generator and loaded into the study's tracking database.""<br>Comments: This study did not include information about allocation.&nbsp;<br>Comments: Basic characteristics were not different between the two groups.</p>",Low risk,"<p>Quote: ""Study team personnel informed participants of their assignment in-person at completion of the baseline outcome assessment.""<br>Comments: It was not possible to blind a clinical pharmacist.&nbsp;<br>Quote: ""The study was conducted in a “real-world” environment where the initial CPS became ill and it took approximately 5 months to replace and train the 2 CPS replacements.""<br>Quote: ""For the primary analysis of CVD risk, we used a general linear model with an unstructured covariance to account for the correlation of patients' repeated measurements over time using PROC MIXED in SAS v9.4 (Cary, NC).""<br>Comments: There was no described ITT, but we can confirm the analyses included in all participants (Fig. 1). IG: included in analysis N=215, CG: included in analysis N=213.</p>",Some concerns,"<p>Quote: ""Patients were unable to complete recruitment process due to phone outages, not showing for appointment, or being nonresponders to phone calls.""<br>Comments: This study did not provide information that the result was not biased by missing data.<br>Comments: Not provide clear information.&nbsp;</p>",Low risk,"<p>Quote: ""The medication management of diabetes followed contemporaneous American Diabetes Association standards of care.""<br>Comments: This study used the same measurements at baseline, 6 and 12 months.&nbsp;<br>Comments: The participants took the same measurement.&nbsp;<br>Comments: This study did not show that outcome assessors were blinded to the intervention group.<br>Quote: ""BMI was calculated from height and weight measurements using standardized methods at baseline, 6 months, and 12 months.""<br>Comments: BMI might be influenced. As L/D were objective data, they were not influenced.</p>",Low risk,<p>Comments: This study followed a statistical analysis plan approved by Durham Veterans Affairs Medical Center Institutional Review Board.<br>Comments: Outcome assessed according to pre-specified analysis.&nbsp;<br>Comments: This study did not provide clear information.&nbsp;</p>,Some concerns,"<p>The overall risk of bias was judged to be some concerns.<br>There were some concerns regarding the randomisation process (Domain 1), mainly due to limited information on allocation concealment. Additionally, missing outcome data (Domain 3) raised minor concerns related to potential bias from attrition. However, the risk of bias due to deviations from intended interventions, outcome measurement, and selective reporting (Domains 2, 4, and 5) was considered low. Taking these findings together, the study was rated as having some concerns overall.</p>"
Bosworth 2018,"Laboratory values: HbA1c, glycosylated hemoglobin",Arm level,,Some concerns,"<p>Quote: ""The randomization scheme was generated via a uniform random number generator and loaded into the study's tracking database.""<br>Comments: This study did not include information about allocation.&nbsp;<br>Comments: Basic characteristics were not different between the two groups.</p>",,,,,,,,,,
Bosworth 2018,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,Some concerns,"<p>Quote: ""The randomization scheme was generated via a uniform random number generator and loaded into the study's tracking database.""<br>Comments: This study did not include information about allocation.&nbsp;<br>Comments: Basic characteristics were not different between the two groups.</p>",Low risk,"<p>Quote: ""Study team personnel informed participants of their assignment in-person at completion of the baseline outcome assessment.""<br>Comments: It was not possible to blind a clinical pharmacist.&nbsp;<br>Quote: ""The study was conducted in a “real-world” environment where the initial CPS became ill and it took approximately 5 months to replace and train the 2 CPS replacements.""<br>Quote: ""For the primary analysis of CVD risk, we used a general linear model with an unstructured covariance to account for the correlation of patients' repeated measurements over time using PROC MIXED in SAS v9.4 (Cary, NC).""</p>",Some concerns,"<p>Quote: ""Patients were unable to complete recruitment process due to phone outages, not showing for appointment, or being nonresponders to phone calls.""<br>Comments: This study did not provide information that the result was not biased by missing data.<br>Comments: Not provide clear information.&nbsp;</p>",Low risk,"<p>Comment: This study used the same measurements at baseline, 6 and 12 months.&nbsp;<br>Quote: ""The medication management of diabetes followed contemporaneous American Diabetes Association standards of care.""<br>Comments: The participants took the same measurement.&nbsp;<br>Comments: This study did not show that outcome assessors were blinded to the intervention group.<br>Quote: ""Total cholesterol and HDL-C were obtained from a lipid profile"", ""HbA1c was measured by standard high-performance liquid chromatography methods on a machine calibrated to the national standard (mean = 5.0%, top of normal range = 6.0%). The reliability of high-performance liquid chromatography allowed us to take a single specimen from each patient at each follow-up visit"", ""standardized methods at baseline, 6 months, and 12 months.""</p>",Some concerns,<p>Comments: This study followed a statistical analysis plan approved by Durham Veterans Affairs Medical Center Institutional Review Board.<br>Comments: This study did not provide clear information.&nbsp;<br>Comments: This study did not provide clear information.&nbsp;</p>,Some concerns,"<p>The overall risk of bias was judged to be some concerns.<br>There were some concerns related to the randomisation procedure (Domain 1), primarily because of limited reporting on allocation concealment. Missing outcome data (Domain 3) also raised questions about potential bias. In contrast, domains assessing deviations from intended interventions, outcome measurement, and selective reporting (Domains 2, 4, and 5) were considered low risk. Considering these points collectively, the overall rating had some concerns.</p>"
Bosworth 2018,Laboratory values: LDL cholesterol,Arm level,,Some concerns,"<p>Quote: ""The randomization scheme was generated via a uniform random number generator and loaded into the study's tracking database.""<br>Comments: This study did not include information about allocation.&nbsp;<br>Comments: Basic characteristics were not different between the two groups.</p>",,,,,,,,,,
Bosworth 2018,Laboratory values: LDL cholesterol End of study,Arm level,,Some concerns,"<p>Quote: ""The randomization scheme was generated via a uniform random number generator and loaded into the study's tracking database.""<br>Comments: This study did not include information about allocation.&nbsp;<br>Comments: Basic characteristics were not different between the two groups.</p>",Low risk,"<p>Quote: ""Study team personnel informed participants of their assignment in-person at completion of the baseline outcome assessment.""<br>Comments: It was not possible to blind clinical pharmacist.&nbsp;<br>Quote: ""the study was conducted in a “real-world” environment where the initial CPS became ill and it took approximately 5 months to replace and train the 2 CPS replacements.""<br>Quote: ""For the primary analysis of CVD risk, we used a general linear model with an unstructured covariance to account for the correlation of patients' repeated measurements over time using PROC MIXED in SAS v9.4 (Cary, NC).""</p>",Some concerns,"<p>Quote: ""Patients were unable to complete recruitment process due to phone outages, not showing for appointment, or being nonresponders to phone calls.""<br>Comments: This study did not provide information that the result was not biased by missing data.<br>Comments: No provide clear information.&nbsp;</p>",Low risk,"<p>Comment: This study used same measurement at baseline, 6month and 12 month.&nbsp;<br>Quote: ""The medication management of diabetes followed contemporaneous American Diabetes Association standards of care.""<br>Comments: The participants took same measurement.&nbsp;<br>Comments: This study did not show that outcome assessors were blinded to intervention group.<br>Quote: ""Total cholesterol and HDL-C were obtained from a lipid profile."" ""HbA1c was measured by standard high-performance liquid chromatography methods on a machine calibrated to the national standard (mean = 5.0%, top of normal range = 6.0%). The reliability of high-performance liquid chromatography allowed us to take a single specimen from each patient at each follow-up visit.""<br>""standardized methods at baseline, 6 months, and 12 months.""</p>",Some concerns,<p>Comments: This study followed statistical analysis plan approved by Durham Veterans Affairs Medical Center Institutional Review Board.<br>Comments: This study did not provide clearly information.&nbsp;<br>Comments: This study did not provide clearly information.&nbsp;</p>,Some concerns,"<p>The overall risk of bias was judged to be some concerns.<br>The randomisation process (Domain 1) raised some concerns due to unclear information about allocation concealment. Similarly, there were minor concerns regarding missing outcome data (Domain 3), which could have introduced bias. However, low risk of bias was observed for deviations from intended interventions, outcome measurement, and selective reporting (Domains 2, 4, and 5). Taking all domains into account, the overall risk was judged as some concerns.</p>"
