review_id	review_group	review_pdf	pdf_status	review_title	research_question	eligibility_inclusion_criteria	eligibility_exclusion_criteria
CD004508_early_feeding_gyn_surgery	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	present	Early feeding after gynaecologic surgery	What does this review assess: the effects of early versus delayed (traditional) initiation of oral intake of food and fluids after major gynaecologic surgery?	We included randomised controlled trials (RCTs) that compared the effect of early versus delayed initiation of oral intake of food and fluids after major gynaecologic surgery, performed by abdominal, vaginal, laparoscopic, and robotic approaches. Early feeding was defined as oral intake of fluids or food within 24 hours post-surgery, regardless of the return of bowel function. Delayed feeding was defined as oral intake after 24 hours post-surgery, and only after signs of postoperative ileus resolution. Primary outcomes were: postoperative ileus, nausea, vomiting, cramping, abdominal pain, bloating, abdominal distension, need for postoperative nasogastric tube, time to the presence of bowel sounds, time to the first passage of flatus, time to the first passage of stool, time to the start of a regular diet, and length of postoperative hospital stay. Secondary outcomes were: infectious complications, wound complications, deep venous thrombosis, urinary tract infection, pneumonia, satisfaction, and quality of life.	We excluded quasi-randomised controlled trials. Major gynaecologic surgery excluded any operations performed mainly for tubal sterilisation.
CD007895_decongestants_bp	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	present	Oral decongestants and blood pressure	Primary objective To assess the effects of adrenergic agonist oral decongestants on systolic and diastolic blood pressure compared to placebo. Secondary objective To assess the effects of adrenergic agonist oral decongestants on heart rate and withdrawals due to adverse effects.	We included RCTs of at least seven days' duration with parallel groups (intervention and placebo) comparing adrenergic agonist oral decongestants versus placebo on blood pressure in people aged over six years.	We excluded cross- over trials. Since blood pressure patterns often undergo changes during pregnancy, we excluded any studies involving pregnant participants (Grindheim 2012).
CD010441_hyaluronidase_perineal	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	present	Hyaluronidase for perineal trauma	What does this review assess: the effectiveness and safety of perineal HAase injection for reducing perineal trauma, episiotomy and perineal pain during vaginal delivery?	Randomised and quasi-randomised controlled trials comparing women giving birth to their first baby receiving perineal HAase injection compared to placebo injection or no intervention during vaginal delivery of a single foetus with vertex foetal presentation (foetus with head engaging the maternal pelvis).	We did not include cross-over trials.
CD012178_lutein_preterm	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	present	Lutein/zeaxanthin for preterm infants	What does this review assess: the effectiveness of lutein and zeaxanthin supplementation in reducing morbidity and mortality in preterm infants?	We included randomised controlled trials (RCTs), cluster-RCT, cross-over trials, and quasi-RCTs that compared lutein and zeaxanthin supplementation against placebo or no supplementation for preterm infants less than 37 completed weeks' postmenstrual age.	We excluded cross-over trials because we considered them unsuitable for the assessment of almost all outcomes specified in this review, which were medium to long-term outcomes.
CD012214_metformin_hyperplasia	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD012214_metformin_hyperplasia.pdf	present	Metformin for endometrial hyperplasia	What does this review determine: the effectiveness and safety of metformin in treating women with endometrial hyperplasia?	We included randomised controlled trials (RCTs) and cross-over trials comparing metformin (used alone or in combination with other medical therapies) versus placebo, no treatment, any conventional medical treatment, or any other active intervention for women with histologically confirmed endometrial hyperplasia of any type.	.
CD014762_nsaids_uti	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD014762_nsaids_uti.pdf	present	NSAIDs for uncomplicated UTI in women	This review aims to investigate the benefits and risks associated with the use of non-steroidal anti-inflammatory drugs (NSAIDs) in the treatment of symptomatic uncomplicated UTIs in non-pregnant adult women.	We included all randomised controlled trials (RCTs) and quasi-RCTs looking at the effectiveness of NSAIDs in the treatment of symptomatic uncomplicated UTIs in non-pregnant adult women. The outcomes of interest were: 1) short-term resolution of symptoms (days 1 to 4); 2) medium-term resolution of symptoms (days 5 to 10); and 3) incidence of adverse events (including progression to sepsis or complicated UTI, hospitalisation or need for intravenous antibiotics, gastrointestinal complications, or death) up to 30 days from randomisation.	Patients with complicated UTIs, acute pyelonephritis, recurrent UTIs or other chronic conditions (including interstitial cystitis, painful bladder syndrome, and chronic pelvic pain syndrome) were excluded.
CD014811_loop_diuretics_hf	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD014811_loop_diuretics_hf.pdf	present	Loop diuretics for acute heart failure	What does this review assess: the effects of intravenous continuous infusion versus bolus injection of loop diuretics for the initial treatment of acute heart failure in adults?	We included randomised controlled trials (RCTs) involving adults with AHF, NYHA classification III or IV, regardless of aetiology or ejection fraction, where trials compared intravenous continuous infusion of loop diuretics with intermittent bolus injection in AHF. We excluded trials with chronic stable heart failure, cardiogenic shock, renal artery stenosis, or end-stage renal disease. Additionally, we excluded Continuous infusion versus bolus injection of loop diuretics for acute heart failure (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.1 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews studies combining loop diuretics with hypertonic saline, inotropes, vasoactive medications, or renal replacement therapy and trials where diuretic dosing was protocol-driven to achieve a target urine output, due to confounding factors.	We excluded RCTs using a cross-over design as there are inherent limitations in cross-over RCTs that are particularly pertinent within the context of people with AHF. We excluded studies that only recruited participants with chronic stable heart failure. We excluded trials with chronic stable heart failure, cardiogenic shock, renal artery stenosis, or end-stage renal disease. Additionally, we excluded Continuous infusion versus bolus injection of loop diuretics for acute heart failure (Review) Copyright © 2024 The Cochrane Collaboration.
CD014960_antibiotics_leptospirosis	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD014960_antibiotics_leptospirosis.pdf	present	Antibiotics for leptospirosis	What does this review evaluate: the benefits and harms of antibiotics versus placebo, no intervention, or another antibiotic for the treatment of people with leptospirosis?	We searched for randomised clinical trials of various designs that examined the use of antibiotics for treating leptospirosis. We did not impose any restrictions based on the age, sex, occupation, or comorbidities of the participants involved in the trials. Our search encompassed trials that evaluated antibiotics, regardless of the method of administration, dosage, and schedule, and compared them with placebo or no intervention, or compared different antibiotics. We included trials regardless of the outcomes reported.	We excluded pseudo-randomised studies (i.e.
CD015040_rtms_ptsd	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD015040_rtms_ptsd.pdf	present	rTMS for PTSD	What does this review assess: the effects of repetitive transcranial magnetic stimulation (rTMS) on post-traumatic stress disorder (PTSD) in adults?	We included randomized controlled trials (RCTs) assessing the efficacy and safety of rTMS versus sham rTMS for PTSD in adults from any treatment setting, including veterans. Eligible trials employed at least five rTMS treatment sessions with both active and sham conditions. We included trials with combination interventions, where a pharmacological agent or psychotherapy was combined with rTMS for both intervention and control groups. We included studies meeting the above criteria regardless of whether they reported any of our outcomes of interest.	We excluded quasi-randomized trials (trials using a method of intervention assignment that was not truly random, such as allocation by date of birth or order of recruitment).
CD015751_lubricating_drops_lens	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD015751_lubricating_drops_lens.pdf	present	Lubricating drops for contact lens discomfort	What does this review evaluate: the efficacy and safety of lubricating drops for ocular discomfort associated with contact lens wear in adults?	We included parallel-group randomized controlled trials (RCTs) that evaluated lubricating drops, including saline, versus no treatment, or that evaluated lubricating drops versus saline, in adult contact lens wearers. We included studies regardless of publication status, language, or year of publication.	Cross-over clinical trials were ineligible. We excluded studies with only a subset of relevant participants or that recruited people using orthokeratology lenses. We excluded studies that used a lubricating ointment, gel, or other non-ophthalmic solution; and studies that assessed the effects of lubricating drops in combinatio...
