review_group	review_pdf	review_id	analysis_id	comparison_id	comparison	comparison_label_clean	outcome	study_order	study_label_raw	matched_reference_block_label	study_matched_pmids	study_pmcids	rob_A	rob_B	rob_C	rob_D	rob_E	rob_F	rob_G	rob_H	rob_I	rob_J	rob_symbols_json	rob_legend_json	rob_extraction_status	rob_extraction_notes	source_excerpt
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.1	1	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Postoperative ileus	1	MacMillan 2000	MacMillan 2000	11004367	.	+	?	-	-	+	?	.	.	.	.	"{""A"": ""+"", ""B"": ""?"", ""C"": ""-"", ""D"": ""-"", ""E"": ""+"", ""F"": ""?""}"	"{""A"": ""Random sequence generation (selection bias)"", ""B"": ""Allocation concealment (selection bias)"", ""C"": ""Blinding of participants and personnel (performance bias)"", ""D"": ""Blinding of outcome assessment (detection bias)"", ""E"": ""Incomplete outcome data (attrition bias)"", ""F"": ""Selective reporting (reporting bias)""}"	extracted	.	A + + + +B ? + + -C - - - -D - ? ? +E + + + +F ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of participants and personnel (performance bias) (D) Blinding of outcome assessment (detection bias) (E) Incomplete outcome data (attrition bias) (F) Selective reporting (reporting bias)
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.1	1	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Postoperative ileus	2	Minig 2009a	Minig 2009a	19330379	.	+	+	-	?	+	+	.	.	.	.	"{""A"": ""+"", ""B"": ""+"", ""C"": ""-"", ""D"": ""?"", ""E"": ""+"", ""F"": ""+""}"	"{""A"": ""Random sequence generation (selection bias)"", ""B"": ""Allocation concealment (selection bias)"", ""C"": ""Blinding of participants and personnel (performance bias)"", ""D"": ""Blinding of outcome assessment (detection bias)"", ""E"": ""Incomplete outcome data (attrition bias)"", ""F"": ""Selective reporting (reporting bias)""}"	extracted	.	A + + + +B ? + + -C - - - -D - ? ? +E + + + +F ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of participants and personnel (performance bias) (D) Blinding of outcome assessment (detection bias) (E) Incomplete outcome data (attrition bias) (F) Selective reporting (reporting bias)
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.1	1	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Postoperative ileus	3	Minig 2009b	Minig 2009b	19760046	.	+	+	-	?	+	+	.	.	.	.	"{""A"": ""+"", ""B"": ""+"", ""C"": ""-"", ""D"": ""?"", ""E"": ""+"", ""F"": ""+""}"	"{""A"": ""Random sequence generation (selection bias)"", ""B"": ""Allocation concealment (selection bias)"", ""C"": ""Blinding of participants and personnel (performance bias)"", ""D"": ""Blinding of outcome assessment (detection bias)"", ""E"": ""Incomplete outcome data (attrition bias)"", ""F"": ""Selective reporting (reporting bias)""}"	extracted	.	A + + + +B ? + + -C - - - -D - ? ? +E + + + +F ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of participants and personnel (performance bias) (D) Blinding of outcome assessment (detection bias) (E) Incomplete outcome data (attrition bias) (F) Selective reporting (reporting bias)
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.1	1	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Postoperative ileus	4	Steed 2002	Steed 2002	12015496	.	+	-	-	+	+	?	.	.	.	.	"{""A"": ""+"", ""B"": ""-"", ""C"": ""-"", ""D"": ""+"", ""E"": ""+"", ""F"": ""?""}"	"{""A"": ""Random sequence generation (selection bias)"", ""B"": ""Allocation concealment (selection bias)"", ""C"": ""Blinding of participants and personnel (performance bias)"", ""D"": ""Blinding of outcome assessment (detection bias)"", ""E"": ""Incomplete outcome data (attrition bias)"", ""F"": ""Selective reporting (reporting bias)""}"	extracted	.	A + + + +B ? + + -C - - - -D - ? ? +E + + + +F ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of participants and personnel (performance bias) (D) Blinding of outcome assessment (detection bias) (E) Incomplete outcome data (attrition bias) (F) Selective reporting (reporting bias)
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	1	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Nausea or vomiting, or both (random-effects model)	1	Amatyakul 2001	Amatyakul 2001	.	.	+	+	-	?	+	?	.	.	.	.	"{""A"": ""+"", ""B"": ""+"", ""C"": ""-"", ""D"": ""?"", ""E"": ""+"", ""F"": ""?""}"	"{""A"": ""Random sequence generation (selection bias)"", ""B"": ""Allocation concealment (selection bias)"", ""C"": ""Blinding of participants and personnel (performance bias)"", ""D"": ""Blinding of outcome assessment (detection bias)"", ""E"": ""Incomplete outcome data (attrition bias)"", ""F"": ""Selective reporting (reporting bias) Early versus delayed oral feeding after major gynaecologic surgery (Review) Copyright \u00a9 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.34 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews""}"	extracted	.	A + + + + + +B + + ? + + +C - - - - - -D ? ? - ? ? ?E + + + + + +F ? ? ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of participants and personnel (performance bias) (D) Blinding of outcome assessment (detection bias) (E) Incomplete outcome data (attrition bias) (F) Selective reporting (reporting bias) Early versus delayed oral feeding after major gynaecologic surgery (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.34 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	1	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Nausea or vomiting, or both (random-effects model)	2	Balayla 2015	Balayla 2015	.	.	+	+	-	?	+	?	.	.	.	.	"{""A"": ""+"", ""B"": ""+"", ""C"": ""-"", ""D"": ""?"", ""E"": ""+"", ""F"": ""?""}"	"{""A"": ""Random sequence generation (selection bias)"", ""B"": ""Allocation concealment (selection bias)"", ""C"": ""Blinding of participants and personnel (performance bias)"", ""D"": ""Blinding of outcome assessment (detection bias)"", ""E"": ""Incomplete outcome data (attrition bias)"", ""F"": ""Selective reporting (reporting bias) Early versus delayed oral feeding after major gynaecologic surgery (Review) Copyright \u00a9 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.34 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews""}"	extracted	.	A + + + + + +B + + ? + + +C - - - - - -D ? ? - ? ? ?E + + + + + +F ? ? ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of participants and personnel (performance bias) (D) Blinding of outcome assessment (detection bias) (E) Incomplete outcome data (attrition bias) (F) Selective reporting (reporting bias) Early versus delayed oral feeding after major gynaecologic surgery (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.34 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	1	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Nausea or vomiting, or both (random-effects model)	3	MacMillan 2000	MacMillan 2000	11004367	.	+	?	-	-	+	?	.	.	.	.	"{""A"": ""+"", ""B"": ""?"", ""C"": ""-"", ""D"": ""-"", ""E"": ""+"", ""F"": ""?""}"	"{""A"": ""Random sequence generation (selection bias)"", ""B"": ""Allocation concealment (selection bias)"", ""C"": ""Blinding of participants and personnel (performance bias)"", ""D"": ""Blinding of outcome assessment (detection bias)"", ""E"": ""Incomplete outcome data (attrition bias)"", ""F"": ""Selective reporting (reporting bias) Early versus delayed oral feeding after major gynaecologic surgery (Review) Copyright \u00a9 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.34 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews""}"	extracted	.	A + + + + + +B + + ? + + +C - - - - - -D ? ? - ? ? ?E + + + + + +F ? ? ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of participants and personnel (performance bias) (D) Blinding of outcome assessment (detection bias) (E) Incomplete outcome data (attrition bias) (F) Selective reporting (reporting bias) Early versus delayed oral feeding after major gynaecologic surgery (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.34 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	1	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Nausea or vomiting, or both (random-effects model)	4	Minig 2009a	Minig 2009a	19330379	.	+	+	-	?	+	+	.	.	.	.	"{""A"": ""+"", ""B"": ""+"", ""C"": ""-"", ""D"": ""?"", ""E"": ""+"", ""F"": ""+""}"	"{""A"": ""Random sequence generation (selection bias)"", ""B"": ""Allocation concealment (selection bias)"", ""C"": ""Blinding of participants and personnel (performance bias)"", ""D"": ""Blinding of outcome assessment (detection bias)"", ""E"": ""Incomplete outcome data (attrition bias)"", ""F"": ""Selective reporting (reporting bias) Early versus delayed oral feeding after major gynaecologic surgery (Review) Copyright \u00a9 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.34 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews""}"	extracted	.	A + + + + + +B + + ? + + +C - - - - - -D ? ? - ? ? ?E + + + + + +F ? ? ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of participants and personnel (performance bias) (D) Blinding of outcome assessment (detection bias) (E) Incomplete outcome data (attrition bias) (F) Selective reporting (reporting bias) Early versus delayed oral feeding after major gynaecologic surgery (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.34 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	1	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Nausea or vomiting, or both (random-effects model)	5	Minig 2009b	Minig 2009b	19760046	.	+	+	-	?	+	+	.	.	.	.	"{""A"": ""+"", ""B"": ""+"", ""C"": ""-"", ""D"": ""?"", ""E"": ""+"", ""F"": ""+""}"	"{""A"": ""Random sequence generation (selection bias)"", ""B"": ""Allocation concealment (selection bias)"", ""C"": ""Blinding of participants and personnel (performance bias)"", ""D"": ""Blinding of outcome assessment (detection bias)"", ""E"": ""Incomplete outcome data (attrition bias)"", ""F"": ""Selective reporting (reporting bias) Early versus delayed oral feeding after major gynaecologic surgery (Review) Copyright \u00a9 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.34 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews""}"	extracted	.	A + + + + + +B + + ? + + +C - - - - - -D ? ? - ? ? ?E + + + + + +F ? ? ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of participants and personnel (performance bias) (D) Blinding of outcome assessment (detection bias) (E) Incomplete outcome data (attrition bias) (F) Selective reporting (reporting bias) Early versus delayed oral feeding after major gynaecologic surgery (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.34 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	1	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Nausea or vomiting, or both (random-effects model)	6	Pearl 1998	Pearl 1998	9649101	.	+	+	-	?	+	?	.	.	.	.	"{""A"": ""+"", ""B"": ""+"", ""C"": ""-"", ""D"": ""?"", ""E"": ""+"", ""F"": ""?""}"	"{""A"": ""Random sequence generation (selection bias)"", ""B"": ""Allocation concealment (selection bias)"", ""C"": ""Blinding of participants and personnel (performance bias)"", ""D"": ""Blinding of outcome assessment (detection bias)"", ""E"": ""Incomplete outcome data (attrition bias)"", ""F"": ""Selective reporting (reporting bias) Early versus delayed oral feeding after major gynaecologic surgery (Review) Copyright \u00a9 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.34 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews""}"	extracted	.	A + + + + + +B + + ? + + +C - - - - - -D ? ? - ? ? ?E + + + + + +F ? ? ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of participants and personnel (performance bias) (D) Blinding of outcome assessment (detection bias) (E) Incomplete outcome data (attrition bias) (F) Selective reporting (reporting bias) Early versus delayed oral feeding after major gynaecologic surgery (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.34 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews
