Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Study details,Char: Publication details,Char: Stated aim for study,Char: Notes
Dreyer 2005,2005,PUB,29400923,"<p>Multinational, multicentre, controlled, open-label, randomized, parallel-group, comparative clinical trial</p><p><b>Randomisation ratio</b>: 1:1</p>","<p>Adults with Type 1 diabetes, recruited at 62 investigational sites in 13 European countries and 5 sites in South Africa (total: 67 sites)</p><p>Inclusion criteria: Men and women aged ≥18 years; diagnosis of Type 1 diabetes (onset &lt;40 years, continuous insulin therapy since diagnosis and &gt;1 year prior to study); HbA1c 6.0–11.0%; BMI &lt;35 kg/m²; able and willing to perform blood glucose monitoring</p><p>Exclusion criteria: Active proliferative/unstable diabetic retinopathy in last 6 months; impaired hepatic or renal function; history of seizures or hypersensitivity to insulin/excipients</p>","<p>Number of study centres: 67 (62 in Europe, 5 in South Africa)</p><p>Treatment before study: Basal-bolus insulin regimen</p><p>Run-in period: 4 weeks (prior screening 1 week; run-in 4 weeks with mealtime lispro and evening glargine)</p><p>Treatment period: 26 weeks</p><p>insulin glulisine vs insulin lispro&nbsp;</p>","<p><b>Primary outcome</b>: Change from baseline in HbA1c (glycated hemoglobin) from baseline to endpoint (week 26)</p><p><b>Secondary outcomes</b>: Proportion of patients reaching target HbA1c categories (≤7.0%, ≤8.0%, reduction ≥0.7%); Changes in self-monitored 7-point blood glucose profile (pre- and postprandial for all meals, bedtime, and nighttime); Changes in insulin dose (rapid-acting and basal) from baseline to endpoint; Rate of symptomatic, severe, and nocturnal hypoglycaemia (events per patient-month); Adverse events (treatment-emergent, serious, injection site, systemic hypersensitivity reactions); Laboratory data: haematology, clinical chemistry, lipids, insulin antibodies, <i>Escherichia coli</i> protein antibodies;</p>",<p>Run-in period: 4 weeks</p><p>Treatment period: 26 weeks</p><p>Extension study: 26-week extension for safety (total up to 52 weeks for some patients)</p><p>Study terminated before regular end: No</p>,<p>Language of publication: English</p><p>Funding: Commercial (Aventis Pharma)</p><p>Publication status: Peer-reviewed journal/full article</p>,"<p>Quote from publication:<br>“The aim of this multinational, multi-centre, controlled, open-label, randomized, parallel-group study was to compare the efficacy and safety of insulin glulisine (glulisine) to that of insulin lispro (lispro) in adults diagnosed with Type 1 diabetes.”</p>",
Ferguson 2001,2001,PUB,29400925,<p><b>Cross-over randomised controlled clinical trial</b></p>,"<p><b>Inclusion criteria</b>: participants with type 1 diabetes for &gt; 5 years; reported reduction in hypoglycaemia warnings symptoms for ≥ 2 years; experienced ≥ 2 episodes of severe hypoglycaemia in the 2 years preceding participation, HbA1c of less than double the local non-diabetic reference range (HbA1c: 5.0-6.6%); aged 19-65 years</p>
<p><b>Exclusion criteria</b>: systemic, renal or hepatic disease; pregnant participants; active, proliferative retinopathy (untreated)</p>
<p><b>Diagnostic criteria</b>: WHO<sup>a</sup></p>","<p><b>Number of study centres</b>: 1</p>
<p><b>Treatment before study</b>: either twice-daily free-mixed insulin or multiple injection regimen</p>
<p><b>Titration period</b>: 12-months (2 treatment periods each lasting 24 weeks)</p>
<p>Insulin lispro vs. RHI (see Appendix 2)</p>","<p><b>Outcomes reported in abstract of publication</b>: HbA1c, 8-point blood glucose profile, frequency and severity of hypoglycaemic episodes and quality of life</p><p><b>Primary outcome(s)</b>: frequency of severe hypoglycaemic episodes<sup>b</sup></p><p><b>Secondary outcome(s)</b>: -</p><p><b>Other outcome(s)</b>: treatment satisfaction (Diabetes Treatment Satisfaction Questionnaire), aspects of quality of life (Hypoglycaemia Fear Survey), hypoglycaemia (mild, severe nocturnal)</p>","<p><b>Run-in period</b>: 4 weeks</p>
<p><b>Study terminated before regular end</b>: no</p>","<p><b>Language of publication</b>: English</p>
<p><b>Funding</b>: commercial (Eli Lilly)</p>
<p><b>Publication status</b>: peer-reviewed journal/full article<br></p>","<p><b>Quote from publication</b>: ""The aim of this study was to compare treatment with insulin lispro and regular human insulin in a cohort of patients with type 1 diabetes who had impaired awareness of hypoglycaemia and a history of frequent severe hypoglycaemia. The two insulins were compared with respect to the frequency of mild and severe hypoglycaemia, glycaemic control, and quality of life measures""</p>","<p><sup>a</sup>According to the study protocol, but no year given (information obtained from IQWIG report)</p><p><sup>b</sup>The quality of glycaemic control was described as a primary outcome in Ferguson 2001, but not in the original study report</p><p><b>Queries to the author(from previous systematic review authors)</b></p><p>Email on 24.01.2013 was sent querying about additional information to the trial author, but no answers provided.</p>"
Home 2000,2000,PUB,29400928,"<p><b>Cross-over randomised controlled clinical trial</b></p>
<p><b>Randomisation ratio</b>: 2:1</p>","<p><b>Inclusion criteria</b>: adults, type 1 diabetes, diabetes duration ≥ 2 years, treated with insulin for 1 year, BMI &lt; 35.0 kg/m<sup>2</sup>, HbA1c ≤ 11.0%</p><p><b>Exclusion criteria</b>: active proliferative retinopathy, nephropathy (serum creatinine &gt; 150 mmol/L), recurrent severe hypoglycaemia, significant cardiovascular disease, systemic corticosteroid treatment, requiring &gt; 1.4 U/(kg*day) insulin, pregnant, drug abuse</p><p><b>Diagnostic criteria</b>: type 1 diabetes according to WHO 1994</p>",<p><b>Number of study centres</b>: 88</p><p><b>Treatment before study</b>: insulin for 1 year</p><p><b>Titration period</b>: 6 months</p><p>Insulin aspart vs. RHI (see Appendix 2)</p>,"<p><b>Outcomes reported in abstract of publication</b>: HbA1c, 8-point blood glucose profiles, insulin dose, quality of life, hypoglycaemia, adverse events, treatment satisfaction</p>
<p><b>Primary outcome(s)</b>: HbA1c</p>
<p><b>Secondary outcome(s)</b>: -</p>
<p><b>Other outcome(s)</b>: hypoglycaemia (mild, severe, severe nocturnal), adverse events, quality of life<sup>a</sup>, treatment satisfaction<sup>b</sup></p>","<p><b>Run-in period</b>: 4 weeks</p>
<p><b>Study terminated before regular end</b>: no</p>","<p><b>Language of publication</b>: English</p>
<p><b>Funding</b>: commercial (Novo Nordisk)</p>
<p><b>Publication status</b>: peer-reviewed journal/full article<br></p>","<p><b>Quote from publication</b>: ""To compare the efficacy of insulin aspart, a rapid-acting insulin analogue, with that of unmodified human insulin on long-term blood glucose control in Type 1 diabetes mellitus""</p>","<p><sup>a</sup>Results only reported for the German subpopulations (published in Bott 2003)</p><p><sup>b</sup>Only for participants in the UK</p><p><b>Queries to the author(from previous systematic review authors)</b></p><p>Email on 19.03.2013 was sent querying about additional information to the trial author and got replied: ""Not easy to access protocols and data. Author provided some information based on what he remembered"".</p>"
Iwamoto 2001,2001,PUB,29400934,"<p><b>Parallel randomised controlled clinical trial</b></p>
<p><b>Randomisation ratio</b>: 2:1</p>","<p><b>Inclusion criteria</b>: diabetes duration &gt; 2 years, insulin treatment &gt; 1 year, capable of coping with hypoglycaemia, 1-3 times insulin injection, blood glucose - self monitoring, HbA1c &lt; 11%, BMI &lt; 30, aged &gt; 12 years</p><p><b>Exclusion criteria</b>: patients with insulin-resistant type 2 diabetes (NIDDM), using ≥100 units/day of insulin during the run-in phase.</p><p><b>Diagnostic criteria</b>: not reported</p>",<p><b>Number of study centres</b>: multicentre (number of centres not reported)</p><p><b>Treatment before study</b>: insulin treatment &gt; 1 year</p><p><b>Titration period</b>: 168 days (24 weeks)</p><p>Insulin aspart vs. RHI (see Appendix 2)</p>,"<p><b>Outcomes reported in abstract of publication</b>: change in HbA1c, blood glucose 90 minutes after breakfast, adverse events, insulin antibodies</p><p><b>Primary outcome(s)</b>: Change in HbA1c at week 24</p><p><b>Secondary outcome(s)</b>: Change in postprandial blood glucose at week 24</p><p><b>Other outcome(s)</b>: insulin doses</p>","<p><b>Run-in period</b>: 6 weeks</p>
<p><b>Study terminated before regular end</b>: no</p>",<p><b>Language of publication</b>: Japanese</p><p><b>Funding</b>: commercial (Novo Nordisk)</p><p><b>Publication status</b>: peer-reviewed journal/full article</p>,"<p><b>Quote from publication</b>: ""The efficacy and safety of insulin aspart, a rapid-acting insulin, were investigated in type 1 diabetes patients treated in basal-bolus regimen compared to soluble human insulin""</p>","<p><b>Queries to the author(from previous systematic review authors)</b></p><p>Email on 24.01.2013 was sent querying about additional information to the trial author, but no answers provided.</p>"
Kawamori 2009,2009,PUB,29400936,"<p>randomized, open-label, parallel-group,<br>multicentre, comparative, non-inferiority clinical study</p><p><b>Randomisation ratio</b>: 1:1</p>","<p><b>Population: </b>Japanese patients with type 1 diabetes mellitus (T1DM) at 24 sites in Japan (2004–2006)</p><p><b>Inclusion criteria</b>: Japanese outpatients aged ≥18 and ≤75 years with T1DM, ≥1 year of continuous insulin treatment, treated with bolus insulin before every meal and a basal insulin once or twice daily for at least 12 weeks before informed consent, BMI &lt;35 kg/m², HbA1c between 6.0% and 11.0%, and 2-h postprandial serum C-peptide &lt;0.333 nmol/l (1.0 ng/ml).</p><p><b>Exclusion criteria</b>: Receiving treatments or having diseases considered to interfere with study conduct (further detail not provided)</p>",<p><b>Number of study centres</b>: &nbsp;24 Sites in Japan</p><p><b>Treatment before study</b>: Bolus Insulin + Basal Insulin ≥12 weeks</p><p><b>Titration period</b>: 28 weeks</p><p>Insulin glulisine vs. Insulin lispro&nbsp;</p>,"<p><b>primary outcome(s): </b>change from baseline in HbA1c from baseline to endpoint</p><p><b>secondary outcome(s): </b>Safety and treatment satisfaction (Diabetes Treatment Satisfaction Questionnaire, DTSQ); Changes in HbA1c from baseline to weeks 4, 8, 12, 16, 20, 24, and 28 Consecutive changes from baseline in HbA1c every 4 weeks to week 28; Changes in 2-h postprandial glucose (PPG) from baseline to weeks 12, 28, and endpoint; Changes in the 7-point blood glucose profile (preprandial and 2-h postprandial for breakfast, lunch, dinner, and bedtime) by self-monitoring of blood glucose (SMBG) at baseline, week 12, week 28, and endpoint; &nbsp;Blood glucose excursions (difference between preprandial and 2-h PPG) at baseline, week 12, week 28, and endpoint; Changes in insulin doses from baseline to weeks 4, 8, 12, 28, and endpoint; Incidence of symptomatic hypoglycaemia (event with clinical symptoms considered by the patient to be due to hypoglycaemia)</p>",<p><b>Run-in period:</b> 4 weeks</p><p><b>Study terminated before regular end:</b> no</p>,<p><b>Language of Publication:</b> Engish</p><p><b>Funding: </b>commercial (sanofi-aventis K.K. Japan)</p><p><b>Publication status:</b> peer-reviewed journal/full article</p>,"<p><b>Quote from publication: ""</b>The rapid-acting insulin analogue insulin glulisine (glulisine) was compared with insulin lispro (lispro) for efficacy and safety in Japanese patients with type 1 diabetes mellitus (T1DM), using insulin glargine (glargine) as basal insulin.""</p>",
Ma 2024,2024,PUB,29400939,<p><b>Parallel randomised controlled clinical trial</b></p><p><b>Randomisation ratio: &nbsp;1:1</b></p>,"<p><b>Inclusion criteria: </b>participants with type 1 diabetes (T1D), aged ≥ 18 years; T1D ≥ 1 year before screening with continuous use of insulin for &nbsp;≥ 1 year; HbA1c of &nbsp;≥ 7% and ≤ 10%, &nbsp;BMI ≤ 35kg/m<sup>2</sup>, received treatment with ≥ &nbsp;1 bolus insulin injection for &nbsp;≥ 90 days combined with basal insulin for &nbsp;≥ 60 days or premixed insulin with &nbsp;≥ 2 injections daily for &nbsp;≥ 90 days before screening&nbsp;</p><p><b>Exclusion criteria:</b> hypoglycaemia unawareness and &gt; 1 episode of severe hypoglycaemia and &gt; 1 emergency room visit or hospitalization due to poor glucose control (hypoglycaemia or diabetic ketoacidosis) within the last 6 months before screening</p>","<p><b>Number of study centres: </b>30</p><p><b>Treatment before study: </b>had been treated with ≥ 1 bolus insulin injection for ≥ 90 days combined with basal insulin for ≥ 60 days or premixed insulin with ≥ 2 injections daily for ≥ 90 days before screening a degludec + glargine&nbsp;</p><p><b>Titration period: </b>12 weeks, maintenance period: week 12-26</p>","<p><b>Outcomes reported in abstract of publication:</b> HbA1c, PPG, MMTT</p><p><b>primary outcome(s):</b> HbA1c&nbsp;</p><p><b>secondary outcome(s):</b> PPG, MMTT, ten-point-SMBG profile, insulin dosing</p>",<p><b>Run-in period: </b>8 weeks&nbsp;</p><p><b>Study terminated before regular end: </b>no</p>,<p><b>Language of publication:</b> English</p><p><b>Funding: </b>commercial (Eli Lilly)</p><p><b>Publication status: </b>peer-reviewed jounal/ full article</p>,"<p>""Therefore, we conducted a [...] study to investigate the efficacy and safety of URLi, when administered as bolus insulin in combination with basal insulin glargine or degludec, in predominantly Chinese patients with T1D.""</p>","<p>We contacted the trial authors with questions on the number of participants for several outcomes on 2025-2-19, on 2025-03-11 and on 2025-03-25, but received no reply.</p><p><b>Queries to the author</b></p><p>Email on 2025.7.16 was sent querying about 26 weeks' outcome data (Number of participants with severe nocturnal hypoglycaemia, adhering to treatment, with ‘Injury, poisoning and procedural complications’, body weight) to the author Dr. Zhou: zhouzg@hotmail.com, but got no replies.</p>"
ONSET 1,2018,PUB,29400943,"<p><b>multicentre, parallel-arm, double-blind, randomized controlled clinical trial</b></p><p><b>Randomisation ratio: </b>1:1:1</p>","<p><b>Inclusion criteria: </b>participants with type 1 diabetes, aged ≥ 18 years; received treatment with basal-bolus insulin regimen for ≥ 12 months before screening; had HbA1c of 53.0-80.0mmol/mol (7.0-9.5%), and a BMI ≤ 35kg/m<sup>2</sup></p><p>&nbsp;</p><p><b>Exclusion criteria:</b> use of antidiabetic drugs other than insulin within 3 months pre-screening; anticipated change in concomitant medications that interfere wih glucose metabolism; &nbsp;cardiovascular disease within 6 months pre-screening; recurrent severe hypoglycaemia; hypoglycaemia unawareness</p>",<p><b>Number of study centres: </b>165&nbsp;</p><p><b>Treatment before study: </b>basal insulin titration during the run-in period</p><p><b>Titration period: </b>8 weeks</p>,"<p><b>Outcomes reported in abstract of publication:</b> change in HbA1c from baseline after the initial 26 weeks</p><p><b>primary outcome(s):</b> change in HbA1c from baseline after the initial 26 weeks</p><p><b>secondary outcome(s):</b> changes in HbA1c from baseline to 52 weeks; HbA1c responders at week 52, changes from baseline in PPG levels and PPG incremens at week 52, changes from baseline in mean 7-9-7-point SMPG profile, mean 2-hour PPG level and mean 2-hour PPG increments at week 52, PPG responders at week 52, changes from baseline in 1,5-anhydroglucitol level, FPG level and body weight at week 52, total (basal + bolus) insulin doses, number of severe or BG-confirmed treatment-emergent hypoglycaemic episodes during 52 weeks of randomized treatment; and numbers of treatment-emergent adverse events, injection-site reactions and allergic reactions&nbsp;</p><p><b>other outcome(s): </b>-</p>",<p><b>Run-in period: </b>8 weeks</p><p><b>Study terminated before regular end:</b> no&nbsp;</p>,<p><b>Language of publication: </b>English</p><p><b>Funding: </b>commercial (Novo Nordisk A/S)</p><p><b>Publication status: </b>peer-reviewed journal/full article&nbsp;</p>,"<p><b>Quote from publication:</b></p><p>""To compare the safety and efficacy of fast-acting insulin aspart (faster aspart) with convetional insulin aspart (IAsp) in adults with type 1 diabetes (T1D).""</p>",
ONSET 8,2018,PUB,29400963,"<p>Parallel group, partly double-blind, randomized controlled clinical trial</p><p><b>Randomisation ratio: 1:1:1</b></p>","<p><b>Inclusion criteria: </b>participants with type 1 diabetes, aged ≥ 20 years in Japan or Taiwan; received a basal-bolus insulin regimen for at least 12 months before screening, including basal insulin analogue for at least 4 months before screening; had an HbA1c of 53.0-80.0mmol/mol (7.0-9.5%), and a BMI ≤ 35kg/m<sup>2</sup></p><p>&nbsp;</p><p><b>Exclusion criteria:</b> treatment with any antidiabetic or obesity medication, other than listed inclusion criteria, within 3 months before screening; any anticipated change in concomitant medications known to affect glucose metabolism persisting beyond 2 weeks of study inclusion; myocardial infarction, stroke or hospitalization for unstable angina pectoris and/or transient ischaemic attack within 180 days before screening; use of continuous glucose monitoring; inadequately-treated hypertension (≥ Class 2), clinically significant hepatic or renal insufficiency</p>",<p><b>Number of study centres: </b>146 sites in 12 countries</p><p><b>Treatment before study: </b>type 1 diabetes with a basal-bolus insulin regimen for at least 12 months</p><p><b>Titration period: </b>8-week run-in period for optimization of the basal insulin and subject training</p>,"<p><b>Outcomes reported in abstract of publication:</b>&nbsp;</p><p><b>primary outcome(s): </b>change from baseline in HbA1c after treatment&nbsp;</p><p><b>secondary outcome(s):</b> change from baseline in 1-hour PPG increment (meal test), change from baseline in 1,5-anhydroglucitol (1,5-AG), change from baseline in fasting plasma glucose (FPG), percentage of subjects reaching HbA1c Targets (HbA1c &lt; 7%), change from baseline in 30-Min, 1-Hour, 2-Hour, 3-Hour and 4-Hour PPG, change from baseline in 30-Min, 1-Hour, 2-Hour, 3-Hour and 4-Hour PPG increment, change from baseline in 7-9-7-point self-measured plasma glucose (SMPG), change from baseline in 7-9-7-point SMPG, percentage of subjects reaching PPG target (overall mean of daily PPG measurements in SMPG), change from baseline in Lipids-lipoproteins Profile, insulin dose, number of treatment emergent adverse events, number of treatment emergent injection site reactions, number of hypoglycaemic episodes classified both according to the American Diabetes Association (ADA), change from baseline in clinical evaluations (physical examination), change from baseline in blood pressure, change from baseline in pulse, change from baseline in ECG, change from baseline in clinical evaluation (fundoscopy, fundus photography), change from baseline in erythrocytes, change from baseline in haematocrit, change from baseline in haemoglobin, change from baseline in leukocytes, change from baseline in thrombocytes, change from baseline in alanine aminotransferase, change from baseline in albumin, change from baseline in aspartate aminotransferase, change from baseline in alkaline, change from baseline in total bilirubin, change from baseline in potassium, change from baseline in creatinine, change from baseline in total protein, change from baseline in urinary albumin-to-creatinine ratio, change from baseline in urinanalysis (ketones, protein, erhythrocytes), change from baseline in antiinsulin Aspart Antibody, change from baseline in weight, change from baseline in BMI&nbsp;</p><p><b>other outcome(s): </b>-</p>",<p><b>Run-in period:</b> 8 weeks</p><p><b>Study terminated before regular end:</b> no</p>,<p><b>Language of Publication:</b> Engish</p><p><b>Funding: </b>commercial (Novo Nordisk A/S)</p><p><b>Publication status:</b> peer-reviewed journal/full article</p>,"<p><b>Quote from publication:</b></p><p>""To evaluate the efficacy and safety of mealtime or postmeal fast-acting insulin aspart (faster aspart) vs mealtime insulin aspart (IAsp), both in combination with insulin degludec, in participants with type 1 diabetes (T1D).""</p>",
PRONTO-T1DM,2020,PUB,29400973,"<p>randomized, multinational, parallel group, treat-to-target study&nbsp;</p><p><b>Randomisation ratio: 4:4:3</b></p>","<p><b>Inclusion criteria: </b>participants with type 1 diabetes, aged ≥ 18 years, continuously using insulin for ≥ 1 year; treated with a rapid-acting insulin analogue ≥ 90 days and basal insulin ≥ 30 days prior to screening; had an HbA1c of 53.0-80.3mmol/mol (7.0-9.5%), and a BMI ≤ 35kg/m<sup>2</sup></p><p><b>Exclusion criteria:</b> hypoglycaemia unawareness, more than one episode of severe hypoglycaemia requiring assistance, o poor glucose control requiring emergency room visit or hospitalization int 6 months prior to screening&nbsp;</p><p>N= 1222 (n mealtime URLi= 451, n lispro= 442, n postmeal URLi= 329)</p>","<p><b>Number of study centres: </b>166</p><p><b>Treatment before study: </b>Insulin aspart, glulisine or lispro as prandial insulin at study entry</p><p><b>Titration period: </b>8 weeks</p>","<p><b>Outcomes reported in abstract of publication:</b> HbA1c, PPG excursions after a meal test</p><p><b>Primary outcome(s): </b>glycated haemoglobin (mean HbA1c)</p><p><b>Other outcome(s):</b> Mixed-meal tolerance test (MMTT),Self-monitored blood glucose (measuring via postprandial glucose = PPG), change from baseline in 1-hour postprandial glucose excursion during MMTT, change from baseline in 2-hour PPG excursion during MMTT, rate of severe hypoglycaemia, rate of documented symptomatic hypogylcaemia, change from baseline in 10-point self-monitoring blood glucose, change from baseline in insulin dose, change from baseline in insulin treatment satisfaction questionnaire (ITSQ) regimen inconvenience domain score, change from baseline in ITSQ lifestyle flexibility domain score, percentage of participants with HbA1c &lt; 7%</p>",<p><b>Run-in period: </b>8 weeks&nbsp;</p><p><b>Study terminated before regular end:</b> no</p>,<p><b>Language of publication: </b>English</p><p><b>Funding: </b>commercial (Eli Lilly)</p><p><b>Publication status:</b> peer-reviewed journal/full article</p>,"<p><b>Quote from publication:</b></p><p>""To evaluate the efficacy and safety of ultra rapid lispro versus lispro in adults with type 1 diabetes in a 26-week, treat-to-target, phase 3 trial.""</p>","<p><b>Queries to the author</b></p><p>Email on 2025.7.18 was sent querying about 26 and 52 weeks' outcome data (Number of participants with DKA, acute myocardial infarction, stroke at 26 weeks; Number of participants with ‘Injury, poisoning and procedural complications’ at 26 and 52 weeks; Number of participants with severe nocturnal hypoglycemia, nephropathy, retinopathy at 26 and 52 weeks; Weight change from baseline at 26 and 52 weeks (mean+SD/SE); Adverse events at 52 weeks; ITSQ scores change from baseline at 52 weeks) to Dr. Bue-Valleskey (bue-valleskey_juliana_m@lilly.com), Dr. Klaff (ljklaff@rainier-research.com), Dr. Liao (liao_birong@lilly.com), and others: c.oliveira@lilly.com (C. Piras de Oliveira), dellva_mary_anne@lilly.com (M.A. Dellva), bue-valleskey_juliana_m@lilly.com (J. Bue-Valleskey), chang_anne_m@lilly.com (A.M. Chang). But none got any replies.</p>"
Provenzano 2001,2001,PUB,29400995,<p><b>Cross-over randomised controlled clinical trial</b></p>,"<p><b>Inclusion criteria</b>: optimum compliance with diabetic diet and insulin therapy, human insulin therapy for ≥ 2 months prior to enrolment</p>
<p><b>Exclusion criteria</b>: total dose of insulin therapy &gt; 2.0 U/kg, continuous s.c. insulin infusion pump, history of clinically significant hypoglycaemia unawareness</p>
<p><b>Diagnostic criteria</b>: -</p>","<p><b>Number of study centres</b>: -</p>
<p><b>Treatment before study</b>: s.c. doses of human insulin for ≥ 2 months prior to their enrolment</p>
<p><b>Titration period</b>: 6 months (3 months on normal diet, 3 months on Mediterranean diet)</p>
<p>Insulin lispro vs. RHI (see Appendix 2)</p>","<p><b>Outcomes reported in abstract of publication</b>: glycaemic control (HbA1c), incidence and frequency of hypoglycaemic episodes, adverse events, pre- and post-prandial glycaemic and insulinaemic profiles</p>
<p><b>Primary outcome(s)</b>: not defined</p>
<p><b>Secondary outcome(s)</b>: not defined</p>
<p><b>Other outcome(s)</b>: HbA1c, hypoglycaemia, adverse events, pre- and post-prandial glycaemic and insulinaemic profiles<br></p>","<p><b>Run-in period</b>: 4 weeks</p>
<p><b>Study terminated before regular end</b>: no</p>","<p><b>Language of publication</b>: English</p>
<p><b>Funding</b>: -</p>
<p><b>Publication status</b>: full article in a peer-reviewed journal<br></p>","<p><b>Quote from publication</b>: ""The aim of this randomised, cross-over study was to evaluate whether LP [lispro] insulin is appropriate in insulin-treated diabetic patients on a MD [Mediterranean diet] in regard to glycaemic control and patients´ quality of life""</p>","<p><b>Queries to the author(from previous systematic review authors)</b></p><p>Email on 05.03.2013 was sent querying about additional information to the trial author, but no answers provided.</p>"
