Study,Year,Data source,ID: CRS,ID: DOI,ID: OTHER,Char: Reason for exclusion
Beuret 2002,2002,PUB,29216104,,,"<p>ICU patients with existing PI at baseline were also included in the randomisation. Results for participants with and without PI at baseline were not separated in the analysis, therefore it was not possible to undertake a subgroup analysis of those participants who were PI-free at baseline.</p>"
De Meyer 2019,2019,SOUGHT,29216106,https://doi.org/10.1111/jan.13932,,"<p>PI stage 1 was not a recruitment exclusion criteria. Inclusion criteria: ""free of PU cat. II—IV and IAD cat. 2 on bony prominences as a result of lying and/or sitting at the start of the study""</p>"
Girard 2014,2014,PUB,29216108,,,"<p>ICU patients with existing PI at baseline were also included in the randomisation. Results for participants with and without PI at baseline were not separated in the analysis, therefore it was not possible to undertake subgroup analyses on those participants who were PI-free at baseline.</p>"
Jiang 2020,2020,SOUGHT,29216110,https://doi.org/10.1097/01.ASW.0000653160.13611.5d,,"<p>Different repositioning regime used with different support surfaces No analysis undertaken to control for the difference i.e, we cannot not disentangle effect of different mattresses.</p>"
Kang 2021,2021,SOUGHT,29216112,https://doi.org/10.1097/PTS.0000000000000582,Health Economic Study,<p>Health Economic Study: Not a parallel economic evaluation of a parent RCT. Data collection: “we identified one randomized controlled trial (RCT) of the use of CLRT to prevent VAP24 and a second RCTof the use of CLRT in a more narrowly defined patient group22 for the remaining model parameters”.</p>
Kapp 2023,,SOUGHT,29216114, https://doi.org/10.1111/iwj.14230,,<p>Intervention is medical device: turning and positioning system (two-hourly or as required according to clinician assessment)</p>
Malekara 2025,2025,SOUGHT,29216116,https://doi.org/10.1016/j.injury.2025.112327,,<p>Twelve participants had PI at baseline</p>
Nherera 2021,2021,SOUGHT,29216118,https://doi.org/10.1007/s10754-021-09304-7,Health Economic Study,<p>Health Economic Study: Not a parallel economic evaluation of an RCT. Data obtained from published literature.</p>
Özkan 2019,2019,MIX,29216120, https://doi.org/10.5336/nurses.2018-64249,,<p>Participants were not randomised</p>
Padula 2024,2024,SOUGHT,29216122, https://doi.org/10.1111/iwj.14452,Health Economic Study,<p>Health Economic Study: Parent trial (Yap 2022) excluded</p>
Su 2015,2015,PUB,29216124,,,"<p>use of a positioning device, ""a suspension system"" (i.e. orthopaedic traction), to position patients over a period of time, rather than a position or positioning schedule.</p>"
Taccone 2009,2009,PUB,29216126,,,<p>PI occurrence not included or reported as a primary or secondary outcome.</p>
Vanderwee 2007,2007,PUB,29216128,,,<p>Patients who had a pre-existing stage 1 PI (i.e. non-blanchable erythema) were included; those who did not have non-blanchable erythema (n = 1944) were excluded.</p>
Voggenreiter 2005,2005,PUB,29216130,,,"<p>ICU patients with existing PI at baseline were also included in the randomisation. Results for participants with and without PI at baseline were not separated in the analysis, therefore it was not possible to undertake subgroup analyses on those participants who were PI-free at baseline.</p>"
Yap 2022,2022,SOUGHT,29216132,https://doi.org/10.1097/01.ASW.0000817840.68588.04,,"<p>Inclusion criteria states participants without PI (on admission or within 72 hours). In the results section, six participants had a PI on Baseline Day 1</p>"
Ziegler 2023,2023,SOUGHT,29216134,https://doi.org/10.1186/s12912-023-01658-2,,<p>Patients with an existing PI recruited to study</p>
