review_id	review_group	review_pdf	pdf_status	review_title	domain	published_issue	studies_summary	reports_refs_summary	comparisons	outcomes	timepoint_burden	curation_notes	manual_status	manual_audit_notes	included_study_blocks	study_blocks_with_any_pmid	study_blocks_with_any_pmc	unique_pmids	unique_pmcids	analysis_count	estimable_analysis_count	uncertain_analysis_count	not_estimable_analysis_count
CD004508_early_feeding_gyn_surgery	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	present	Early feeding after gynaecologic surgery	Gynecologic surgery / perioperative care	Issue 8, 2024	7 RCTs	7 reports	early vs delayed oral feeding after major gynaecologic surgery	ileus; nausea/vomiting; distension/NG tube; bowel recovery; hospital stay; complications; QoL/satisfaction	Low; most pooled outcomes are recovery durations or 30-d patient-reported outcomes, not multiple timepoint subgroup analyses	Very manageable report burden and a single perioperative comparison.	.	.	7	5	0	5	0	16	16	0	0
CD007895_decongestants_bp	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	present	Oral decongestants and blood pressure	Cardiovascular safety / respiratory medicine	Issue 3, 2025	5 studies	5 reports; one unpublished/limited report	adrenergic-agonist oral decongestants vs placebo	systolic/diastolic BP; heart rate; withdrawals due to AEs	Low; short follow-up range, with no major timepoint subgroup axis apparent for the main BP outcomes	Excellent recent first-pass candidate with straightforward continuous outcomes.	.	.	5	5	1	5	1	4	4	0	0
CD010441_hyaluronidase_perineal	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	present	Hyaluronidase for perineal trauma	Obstetrics / perineal trauma	Issue 11, 2024	5 RCTs	5 reports	perineal HAase injection vs placebo injection; HAase vs no intervention	perineal trauma; episiotomy; laceration grades; oedema; blood loss; pain; dyspareunia/sexual function	Moderate if pain/oedema are curated; main trauma outcomes are simpler, but pain/oedema have separate early follow-up windows	Small and recent; focus first on trauma/episiotomy outcomes.	.	.	5	1	1	1	1	14	11	0	3
CD012178_lutein_preterm	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	present	Lutein/zeaxanthin for preterm infants	Neonatology / supplementation	Issue 4, 2025	5 studies	5 reports	lutein + zeaxanthin vs placebo/no supplementation	mortality; ROP; BPD; NEC; sepsis; IVH; neurodevelopment sparse	Low; outcomes are mostly neonatal/in-hospital rather than split across multiple meta-analysis time windows	One of the cleanest recent options with standard neonatal binary outcomes.	.	.	5	5	0	5	0	6	5	0	1
CD012214_metformin_hyperplasia	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD012214_metformin_hyperplasia.pdf	present	Metformin for endometrial hyperplasia	Gynecology / endometrial hyperplasia	Issue 5, 2024	7 RCTs	11 reports	metformin vs megestrol; metformin + megestrol vs megestrol; metformin + LNG-IUS vs LNG-IUS	histologic regression; recurrence/progression; hysterectomy; bleeding; QoL; AEs	Moderate; review uses short/medium/long timing bins, though many target outcomes cluster around 3-6 mo	Feasible if one comparison branch is chosen first.	.	.	7	6	2	7	3	13	10	1	2
CD014762_nsaids_uti	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD014762_nsaids_uti.pdf	present	NSAIDs for uncomplicated UTI in women	Primary care / infectious disease	Issue 12, 2024	6 studies	6 studies; about 12 refs	NSAIDs vs antibiotics; antibiotic-sparing strategies	symptom resolution; symptom duration; microbiological resolution; pyelonephritis; antibiotic use; AEs	Moderate/high; symptom resolution is separated into short- and medium-term windows, with microbiology and AEs at different outcome-specific times	Good recent clinical benchmark; predefine symptom-resolution timing.	.	.	6	6	5	12	10	8	8	0	0
CD014811_loop_diuretics_hf	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD014811_loop_diuretics_hf.pdf	present	Loop diuretics for acute heart failure	Cardiology / heart failure	Issue 5, 2024	7 RCTs	10 articles	continuous infusion vs bolus loop diuretics	weight loss/fluid balance; mortality; hospital stay/readmission; AKI; BNP/NT-proBNP; adverse incidents	Low/moderate; most outcomes use hospital/discharge or longest follow-up, with readmission timing around 30-90 d	Probably the cleanest first pass: one head-to-head comparison and standard clinical outcomes.	.	.	7	7	5	7	5	10	10	0	0
CD014960_antibiotics_leptospirosis	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD014960_antibiotics_leptospirosis.pdf	present	Antibiotics for leptospirosis	Infectious disease / leptospirosis	Issue 3, 2024	9 trials	9 records	antibiotics vs placebo/no intervention; antibiotic vs antibiotic	all-cause mortality; serious/non-serious AEs; hospital days	Low/moderate; generally maximum follow-up is used, but follow-up differs across trials and is sometimes unclear	Low report burden; comparison branching should be scoped upfront.	.	.	9	5	1	5	1	12	12	0	0
CD015040_rtms_ptsd	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD015040_rtms_ptsd.pdf	present	rTMS for PTSD	Psychiatry / neuromodulation	Issue 8, 2024	13 RCTs	23 references	active vs sham rTMS; standalone/adjunct variants	PTSD severity; serious AEs; response/remission	Moderate; PTSD severity is separated into immediate, 1-4 wk, and 4-12 wk follow-up windows	Useful SMD/OR benchmark, but rTMS variants add subgroup decisions.	.	.	13	12	4	14	6	14	12	2	0
CD015751_lubricating_drops_lens	first_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/first_pass/CD015751_lubricating_drops_lens.pdf	present	Lubricating drops for contact lens discomfort	Ophthalmology / contact lenses	Issue 9, 2024	7 RCTs	about 10 refs/records; one study without usable outcome data	lubricating drops/saline vs no treatment; lubricating drops vs saline	contact lens discomfort; end-of-day comfort; dryness; CLDEQ symptoms; ocular signs; AEs	Low; short 1-4 wk trials with no obvious multi-timepoint subgroup burden	Compact and recent; two comparator families are the main scoping choice.	.	.	7	4	0	4	0	9	9	0	0
