Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias)
Aalami-Harandi 2013,Low risk,<p>Randomization was carried out using computer-generated simple random tables in a 1:1 ratio.</p>,Unclear risk,<p>No information</p>,Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>4 women were excluded from the analyses due to unable to complete the study (&lt; 10%). Numbers were similar across both arms. All other women were included in the analysis&nbsp;</p>,Low risk,"<p>The protocol of the study was registered (IRCT2012061910068N1). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Aduloju 2016,Low risk,"<p>Women admitted for induction of labour, who met the inclusion criteria, were randomised into three groups, A, B and C, by blocked randomisation using random table computer-generated numbers in sealed opaque envelopes.</p>",Low risk,"<p>Women admitted for IOL, who met the inclusion criteria, were randomised into three groups, A, B and C, by blocked randomisation using random table computer-generated numbers in sealed opaque envelopes.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.&nbsp;</p>,Low risk,<p>Assessor blinding was not reported.&nbsp;</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (PACTR201312000680425). However, the study failed to report our primary outcomes.</p>"
Al-Ibraheemi 2018,Low risk,<p>Randomization was achieved through a computer-generated assignment that used simple randomization with one- to-one allocation for each arm of the study.</p>,Low risk,"<p>The allocation of assignment was concealed by placement in sequentially numbered, opaque, sealed envelopes that were drawn in consecutive order.</p>",Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,"<p>There were 6 and 8 participants in each study group that did not align with the assigned intervention. However, the authors used an intention-to-treat approach to analyse data. Thus, data from all participants were collected and analysed in the final analyses.</p>",High risk,"<p>The protocol of the study was registered (NCT02566005). However, the study failed to report our primary outcomes.</p>"
Amarasena 2021,Low risk,<p>Using computer generated random numbers and stratified (primigravidae and multigravidae) block randomization.</p>,Low risk,"<p>144 sealed opaque envelopes containing the parallel allocation sequences for the two strata (76 primigravidae and 76 multigravidae) in blocks of four in a 1:1 ratio, were prepared by the second author (MG) and kept securely in the antenatal ward.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.&nbsp;</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was registered (SLCTR/2016/024). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Anjali 2022,Low risk,<p>A computer-generated randomization scheme was generated by the researcher with equal number of allocations for each arm of the study.</p>,Low risk,"<p>Block Randomization with Sealed envelope system, in this technique, patients were randomized in a series of blocks of ten—that is, for every ten patients randomized five received oral misoprostol aloneand other five received oral misoprostol and Foley’scatheter.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.&nbsp;</p>,Low risk,<p>Assessor blinding was not reported.&nbsp;</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. However, the authors sent us the thesis protocol of this study and replied to our quary that ""the study was done as part of postgraduate thesis work. The protocol was developed and was approved by the hospital scientific committee and the hospital ethical committee. Then the protocol was submitted to Diplomate of national board and was approved"". In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Anzeljc 2022,Low risk,"<p>A computer randomization process with a 1:1 allocation ratio was used to assign patients to study groups. Initially, our technical staff generated a randomisation list using the established tool (simple randomiser) at https://www.sealedenvelope.com/simple-randomiser/v1/lists (accessed on 5 January 2021) with block sizes of four, six, and eight.</p>",Low risk,"<p>The generated list was imported into Google Sheets, and a Google Apps script was created to generate a PDF file containing the allocation information from this table for each patient. The Google Apps script was triggered by the submission of a Google form. Nobody knew which study group the pregnant women would be assigned to before the computer assigned them to a specific group.</p>",Low risk,<p>Study participants and caregivers were not blinded.&nbsp;</p>,Low risk,<p>Assessors were not blinded to treatment allocations.&nbsp;</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (NCT04743297). However, the study failed to report our primary outcomes.</p>"
Ayaz 2009,Unclear risk,<p>Random sequence generation was not reported</p>,Low risk,<p>The randomization was done by opening sequentially numbered opaque envelops containing cards stating the drug for induction.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.&nbsp;</p>,Low risk,<p>Assessor blinding was not reported.&nbsp;</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Barda 2018,Low risk,<p>Subjects were randomly assigned to one of the study groups in a 1:1 ratio. A blocked randomization scheme was created using a computer-generated list of random numbers (randomization.com website). Each block consisted of 50 participants.</p>,Low risk,"<p>Treatment allocation was concealed by placing assignments in sequentially numbered opaque envelopes. After enrollment, a research assistant opened the envelope and notified the attending physician of the subject’s group assignment.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.&nbsp;</p>,Low risk,<p>Assessor blinding was not reported.&nbsp;</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (NCT02486679). However, the study failed to report our primary outcomes.</p>"
Bartusevicius 2006,Low risk,<p>A total of 140 identical envelopes were prepared using computer-generated random number table by an investigator not involved in the clinical care of the patient</p>,Low risk,"<p>Each envelope contained two packages of pills, one labelled sublingual medication (placebo or 50 mg of miso- prostol) and another labelled vaginal medication (placebo or 25 mg of misoprostol)</p>",Low risk,"<p>Study participants and caregivers were blinded to treatment allocations. The placebo tablets had been produced in the pharmacy of Kaunas University of Medicine in tablets so that the appearance, the texture and the taste were similar to the tablet of misoprostol.</p>",Low risk,"<p>Assessors were blinded to treatment allocations. The placebo tablets had been produced in the pharmacy of Kaunas University of Medicine in tablets so that the appearance, the texture and the taste were similar to the tablet of misoprostol.</p>",Low risk,"<p>2 women were excluded from the analyses because one woman declined to participate after two doses of misoprostol, and another one did not receive the allocated intervention (&lt; 10%). The authors analysed the data with an intention-to-treat approach. All other women were included in the analysis.</p>",Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Bebbington,Low risk,<p>Group allocations contained within the envelopes had been pre-determined using a random number table.</p>,Low risk,"<p>Once informed consent had been obtained, women were randomized into one of the two treatment groups by means of opening sequentially numbered, sealed, opaque envelopes that were kept in a secure location on the labor floor.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.&nbsp;</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Beigi 2010,Low risk,<p>Participants were randomly allocated to the groups by using random numbers table which was generated in SPSS statistical software.</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Bennett 1998,Low risk,<p>Opaque envelopes containing a card indicating group allocation were prepared by an administrative staff member using computer-generated random number tables with randomization in blocks of four.</p>,Low risk,<p>Opaque envelopes containing a card indicating group allocation were prepared by an administrative staff member using computer-generated random number tables with randomization in blocks of four. Allocation of each consenting patient to induction method was determined at the time of induction by opening the next sequentially numbered envelope.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Bhide 2020,Low risk,<p>Randomisation was stratified by site and parity using variable block sizes (two and four). A research team member entered baseline data on a web-based database at study enrolment and then allocated the treatment (Propess or CRB) using the web-based randomisation programme developed by the King’s Clinical trial Unit (KCTU).</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (NCT03199820). However, the study failed to report our primary outcomes.</p>"
Boddu 2017,Unclear risk,<p>Random sequence generation was not reported.</p>,Low risk,"<p>After informed consent, women were assigned to a induction method by opening sequentially numbered opaque sealed envelopes. These envelopes contain labels indicating study allocation. Permuted block randomization of sizes 2, 4 or 6 were used randomly to allocate the method of induction to the subjects. These envelopes were prepared by statistician (Biostatistics department, CMCH, Vellore) not involved in patient care.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.&nbsp;</p>,Low risk,<p>Assessor blinding was not reported.&nbsp;</p>,Low risk,<p>6 women were excluded from the analyses due to the following reasons: 1) did not receive the allocated intervention (n = 4) and 2) patient charts were missing and data could not be collected (n = 2) (&lt; 10%). Numbers were similar across both arms. All other women were included in the analysis.</p>,Low risk,"<p>The protocol of the study was registered (CTRI/2016/02/006637). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Bullarbo 2007,Low risk,"<p>Randomization was performed by means of numbered, sealed envelopes prepared with random-number tablets.</p>",Low risk,"<p>Randomization was performed by means of numbered, sealed envelopes prepared with random-number tablets.</p>",Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Butt 1999,Low risk,"<p>Envelopes containing cards indicating study allocation were prepared by administrative staff not directly involved in subject care, using computer-generated random numbers with randomization in blocks of four and six.</p>",Low risk,<p>Consenting subjects were assigned to induction method by opening the next sequentially numbered opaque sealed envelope.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Calder 2008,Low risk,<p>All subjects were then independently randomised to treatment with misoprostol or dinoprostone using a randomisation list to assign a randomisation number.</p>,Unclear risk,<p>Allocation concealment was not reported</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,"<p>14 women were excluded from the analyses due to the following reasons: 1) adverse events (n = 2), 2) insufficient response (n = 2), 3) ineligible to continue trial (n = 3), 4) withdraw consent (n=2) (&lt; 10%). All other women were included in the analysis.</p>",Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Caliskan 2005,Low risk,"<p>Women who fulfilled these criteria were asked to participate and those giving written informed consent were enrolled. A nonrestricted computer-generated randomization was carried out by the in vestigators (SO and AC), who were not involved in the clinical care of the patients.</p>",Low risk,<p>The randomization assignments were placed into consecutively numbered opaque envelopes</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Chaudhuri 2011,Low risk,<p>Randomization was done by a simple randomization method using a table of random numbers.</p>,Low risk,"<p>The group assignments were put into sealed envelopes, and the envelopes were opened when the women were recruited by the attending physician, which was the point of randomization.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,"<p>Out of the total women who participated in the study, 5 were excluded from the analysis (&lt; 10%). Four of them had received misoprostol (oral) in an improper manner, while one refused the treatment with misoprostol. All other women were included in the analysis.</p>",High risk,"<p>The protocol of the study was registered (NCT00355966). However, the study failed to report our primary outcomes.</p>"
Cheung 2006,Low risk,<p>Subjects satisfying all the inclusion criteria for the study were assigned by a computerized random-number generator.</p>,Low risk,<p>Group allocation was predetermined and placed in consecutively numbered and sealed opaque envelopes.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>2 women were excluded from the analyses due to the case records were missing (&lt; 10%). All other women were included in the analysis.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Dadashaliha 2021,Low risk,"<p>Random allocation was carried out using the simple randomization method, and assignment sequences were documented on the provided form before the commencement of the research as either cervical, sublingual, and vaginal. Randomization was performed using random allocation software.</p>",Low risk,<p>The type of intervention was written in accordance with the assignment sequence and was enclosed within the opaque envelopes. The second investigator prepared the sealed envelopes to ensure the allocation concealment.</p>,Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>10 women were excluded from the analyses due to refusal to continue the intervention (&lt; 10%). Numbers were similar across both arms. All other women were included in the analysis.</p>,High risk,"<p>The protocol of the study was registered (IRCT20190415043278N1). However, the study failed to report our primary outcomes.</p>"
da Graca Krupa 2005,Low risk,"<p>Randomisation was carried out by computer prior to initiation of the study, specifying the same number of cases per group.</p>",Low risk,"<p>In order to assure concealment, information regarding the assigned intervention was contained on the forms, which were kept inside sealed opaque envelopes, sequentially numbered according to randomisation. Then, each case enrolled in the study had the next sequential numbered envelope assigned and the correspondent inter- vention was known only after the envelope was opened.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Dallenbach 2003,Low risk,"<p>The random allocation scheme was derived from a computer-generated list of numbers, with randomly per- muted blocks between 2 and 6.</p>",Low risk,"<p>Opaque, sealed, and consecutively numbered envelopes were prepared at the National Perinatal Epidemiology Unit, in Oxford, United Kingdom.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>2 women were excluded from the analyses because they had previous caesarean sections and were randomised to the study by error (&lt; 10%). Numbers were similar across both arms. All other women were included in the analysis.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
De Bonrostro Torralba 2019,Low risk,<p>Women were randomized into the dinoprostone or misoprostol group in a 1:1 ratio using a computerized numerical sequence.</p>,Unclear risk,<p>Allocation concealment was not reported</p>,Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (NTC03744364). However, the study failed to report our primary outcomes.</p>"
de Moraes 2005,Low risk,<p>This allocation had previously been carried out randomly by computer.</p>,Low risk,"<p>A sealed brown envelope was selected, which was previously numbered in sequential and ascending order, which contained the form for data collection with the scheme induction.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,"<p>3 women (&lt; 10%) were excluded from the analyses due to the following reasons: 1) one had breech presentation, 2) one was mistakenly randomized despite having a previous caesarean section, and 3) one withdrew the consent. All other women were included in the analysis.</p>",High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
