Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): Functional outcomes,Domain (support): Blinding of outcome assessment (detection bias): Functional outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): Radiological outcomes,Domain (support): Blinding of outcome assessment (detection bias): Radiological outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Abane 2015,Unclear risk,<p>Randomisation procedure not reported</p>,Unclear risk,<p>Allocation concealment not reported</p>,Unclear risk,<p>No mention of blinding procedures to participants and personnel</p>,Unclear risk,<p>Not reported</p>,Low risk,"<p>Quote from the study stated: "".... measurements were carried out by a single independent observer (LA) who was not involved in the surgical procedures, and who was blinded to the instrumentation used.""</p>",High risk,"<p>11 participants from the intervention group and 3 participants from the control group were excluded from the final analysis.</p><p>Dropout rate:</p><p>Intervention group: 11/70 (15.7%)</p><p>Control group: 3/70 (4.3%)</p><p>Comment: Due to unequal dropout rate, there is high risk of attrition bias.</p>",Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Unclear risk,"<p>Quote from study: ""One or more authors received benefits from a commercial party related directly or indirectly to the subject of this article"".</p>"
Abdel 2014,Low risk,"<p>Quote from the study: ""Randomisation of patients into one of the two groups was done by the Hospital Informatics Department with the use of a systematic sampling method.""</p>",Low risk,"<p>Quote from the study: ""The randomisation protocol was not revealed to the authors, who received the information regarding the group to which the patient was assigned in numbered, sealed envelopes.""</p>",Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Low risk,"<p>Quote from the study: ""The radiological evaluation was performed according to a previously described method by two independent observers (one orthopaedic fellow and one staff radiologist) blind to the type of technique used intra-operatively"".</p>",Low risk,<p>All the participants contributed to the outcomes reported in the trial.</p>,Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Attard 2019,Low risk,<p>The patients were randomised into four separate groups by block stratification.</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Loss to follow-up was not reported.</p>,Low risk,<p>All outcomes discussed in methods reported</p>,High risk,<p>CONSORT diagram has discrepancy between numbers excluded and numbers analysed.</p>
Boonen 2013,Low risk,"<p>Quote from study: ""Randomisation involved an online random number generator and was stratified per hospital"".</p>",Low risk,"<p>Quote from study: ""The surgeon enroling the patients in the trial was unaware of the type of treatment that patients would receive"".</p>",Low risk,"<p>Quote from the study: ""Patients were blinded to the type of alignment method used ..... patients in this group (control group) also underwent MRI scanning to maintain patient blinding"".</p>",Low risk,"<p>Quote from the study: ""... questionnaires was completed .... by an independent physician who was blinded to the type of instrumentation used"".</p>",Low risk,"<p>Quote from the study: ""All radiographic outcome measures were performed by 2 independent reviewers in both centres, blinded to the type of alignment method used"".</p>",Low risk,"<p>Quote from study: ""Four radiographs in group 1 (intervention group) and 8 radiographs in group 2 (control) group were of unacceptable quality ..... not included in the analysis"".</p><p>Loss to follow-up</p><ul><li data-list-item-id=""e242424f979c136a47ffdc24e977bff81"">Intervention group: 8 patients</li><li data-list-item-id=""eb61705eb7c5f119bc1934f0b3b56a2f9"">Control group: 9 patients</li></ul><p>Comment: Possible low risk of attrition – no evidence of differential dropout rate in the two arms</p>",Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Unclear risk,"<p>Quote from study: ""The author or one or more of the authors have received or will receive benefits for personal or professional use from a commercial party related directly or indirectly in the subject of this article"".</p>"
Calliess 2017,Unclear risk,"<p>Quote from study: ""Between 2012 and 2013, 200 patients underwent TKA and were randomly assigned to 2 groups"".</p><p>Comment: Randomisation method not mentioned</p>",High risk,"<p>Quote from study: ""Two different consultant teams performed the surgeries, acquired the patients, and assigned them to a single group.""</p><p>Comment: As the surgical team was involved in allocation, probably the allocation was not concealed.</p>",High risk,"<p>Quote from study: ""Due to high overall costs, patient blinding was not performed in this study.""</p>",High risk,"<p>Quote from study: ""The KSS and WOMAC scores were recorded on follow-up after 12 months"".</p><p>Comment: Highly likely that these outcome assessments were not blinded</p>",High risk,"<p>Quote from study: ""radiological evaluations were performed by one senior consultant and one resident..... In the KA group, the extent of post-operative limb alignment and deviation from initial plan was evaluated"".</p><p>Comment: Highly likely that these outcome assessments were not blinded</p>",Low risk,"<p>Quote from study: ""... in the MA group (control group), 1 patient was lost to follow-up after 12 months"".</p><p>Comment: There was no attrition reported during the study period (12 months).</p>",Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Chareancholvanich 2013,Low risk,"<p>Quote from study: ""The patients were randomised to each treatment arm via the blocks-of-four method"".</p>",Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Low risk,<p>Functional outcome measures not reported in this study</p>,Low risk,"<p>Quote from study: ""Two independent blinded investigators measured the radiological parameters"".</p>",Low risk,"<p>3 patients in the intervention group did not receive the allocated intervention after randomisation. However, all the patients who received the allocated intervention contributed to the outcome measurement.</p><p>Comment: Probably low risk</p>",Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Chotanaphuti 2014,Unclear risk,"<p>Quote from the study: ""were assigned to one of the two groups (1:1)""</p><p>Comment: Method of random sequence generation was not reported.</p>",Unclear risk,<p>Not reported</p>,Unclear risk,"<p>This was an open-label study. However, it is unclear whether there was any performance bias.</p>",Low risk,<p>Functional outcome measures not reported in this study</p>,Low risk,"<p>Quote from study: ""All patients received a CT scan of the knee .... evaluated by two hip &amp; knee fellows who did not know the procedures"".</p>",Low risk,<p>All the patients who received the allocated intervention contributed to the outcome measurement.</p>,Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Cucchi 2019,Low risk,<p>Block randomisation (4 per block) was performed to allocate patients to control or treatment groups.</p>,Low risk,<p>Concealed sequence in sequentially numbered sealed envelopes until interventions assigned</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Low risk,<p>None lost to follow-up</p>,Unclear risk,<p>Outlier data not reported</p>,Low risk,<p>None</p>
De Vloo 2017,Low risk,<p>Four surgeries were planned per day. Randomisations were done the day of surgery by an independent person who tossed a coin to define the two patients that would be operated using conventional instrumentation.</p>,Low risk,<p>All patients received MRI for PSI and preop CT. Group was decided on the day of surgery.</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Functional outcomes not analysed</p>,Unclear risk,<p>Not reported</p>,Unclear risk,"<p>Except for 4 patients (con 1, PSG 4) with motion artefacts in postop CT for alignment, all other patients' outcomes presented</p>",Low risk,<p>None</p>,Low risk,<p>None</p>
Ferrara 2015,Low risk,"<p>Quote from the study: ""Patients were randomised into 2 groups by the informatics department of the authors’ hospital, using a systematic sampling method"".</p>",Low risk,"<p>Quote from the study: ""randomisation protocol was not revealed to the authors .... numbered and sealed envelopes""</p>",Unclear risk,<p>Not reported</p>,Low risk,<p>Functional outcome measures not reported in this study</p>,Low risk,"<p>Quote from the study: ""Another radiologist, blinded to the type of operative technique used, evaluated the positioning of both prosthetic components"".</p>",Low risk,<p>All the patients who received the allocated intervention contributed to the outcome measurement.</p>,Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
