review_group	review_pdf	review_id	comparison_id	comparison_label_raw	comparison_label_clean	comparison_label_canonical	comparison_label_normalized	comparison_role	parent_comparison_id	intervention	comparator	intervention_canonical	comparator_canonical	comparison_removed_shared_arm_context	analysis_count	analysis_ids	outcome_labels	classification_notes	manual_status
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	early versus delayed oral fluids and food after major abdominal gynaecologic surgery	main_comparison	.	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	16	1.1; 1.2; 1.3; 1.4; 1.5; 1.6; 1.7; 1.8; 1.9; 1.10; 1.11; 1.12; 1.13; 1.14; 1.15; 1.17	Postoperative ileus; Nausea or vomiting, or both (random-effects model); Nausea (random-effects model); Vomiting; Abdominal distension; Postoperative placement of nasogastric tube; Time to the presence of bowel sounds (random-effects model); Time to the first passage of flatus; Time to the first passage of stool; Time to the first solid diet (random-effects model); Hospital stay (random-effects model); Febrile morbidity; Infectious complications; Wound complications; Pneumonia; Satisfaction	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	CD007895_decongestants_bp	1	Adrenergic agonist oral decongestants (AAOD) versus placebo	Adrenergic agonist oral decongestants (AAOD) versus placebo	adrenergic agonist oral decongestants aaod versus placebo	adrenergic agonist oral decongestants aaod versus placebo	main_comparison	.	Adrenergic agonist oral decongestants (AAOD)	placebo	adrenergic agonist oral decongestants aaod	placebo	.	4	1.1; 1.2; 1.3; 1.4	Systolic blood pressure, measured as change-from-baseline; Diastolic blood pressure, measured as change-from-baseline; Heart rate, measured as change-from-baseline; Withdrawals due to adverse effects	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	1	HAase injection versus placebo injection	HAase injection versus placebo injection	hyaluronidase versus placebo	hyaluronidase injection versus placebo injection	main_comparison	.	HAase injection	placebo injection	hyaluronidase	placebo	injection	7	1.1; 1.2; 1.3; 1.4; 1.5; 1.6; 1.7	Incidence of perineal trauma (tears or episiotomy or both); Incidence of episiotomy; Incidence of first and second degree perineal lacerations; Incidence of third and fourth degree perineal trauma; Incidence of perineal oedema 1 hour after vaginal delivery; Incidence of perineal oedema 24 hours after vaginal delivery; Incidence of neonatal Apgar scores less than 7 at five minutes	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	2	HAase injection versus no intervention	HAase injection versus no intervention	hyaluronidase injection versus no intervention	hyaluronidase injection versus no intervention	main_comparison	.	HAase injection	no intervention	hyaluronidase injection	no intervention	.	7	2.1; 2.2; 2.3; 2.4; 2.5; 2.6; 2.7	Incidence of perineal trauma (tears or episiotomy or both); Incidence of episiotomy; Incidence of first and second degree perineal lacerations; Incidence of third and fourth degree perineal trauma; Incidence of perineal oedema 1 hour after vaginal delivery; Incidence of perineal oedema 24 hours after vaginal delivery; Incidence of neonatal Apgar scores less than 7 at five minutes	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	CD012178_lutein_preterm	1	Lutein and zeaxanthin versus control (placebo or no supplementation)	Lutein and zeaxanthin versus control (placebo or no supplementation)	lutein zeaxanthin versus control placebo or no supplementation	lutein and zeaxanthin versus control placebo or no supplementation	main_comparison	.	Lutein and zeaxanthin	control (placebo or no supplementation)	lutein zeaxanthin	control placebo or no supplementation	.	6	1.1; 1.2; 1.3; 1.4; 1.5; 1.6	Incidence of ROP at any stage; Incidence of ROP stage 3 and above; Mortality assessed throughout NICU stay; Incidence of IVH (all grades of IVH and severe IVH grades III and IV); Incidence of NEC; Any reported adverse effects	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD012214_metformin_hyperplasia.pdf	CD012214_metformin_hyperplasia	1	Metformin versus megestrol	Metformin versus megestrol	metformin versus megestrol	metformin versus megestrol	main_comparison	.	Metformin	megestrol	metformin	megestrol	.	4	1.1; 1.2; 1.3; 1.4	Regression of endometrial hyperplasia (with or without atypia) to proliferative, secretory, or atrophic endometrium; Progression of endometrial hyperplasia to endometrial cancer; Hysterectomy rate; Abnormal uterine bleeding	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD012214_metformin_hyperplasia.pdf	CD012214_metformin_hyperplasia	2	Metformin plus megestrol versus megestrol	Metformin plus megestrol versus megestrol	metformin plus versus megestrol	metformin plus megestrol versus megestrol	main_comparison	.	Metformin plus megestrol	megestrol	metformin plus	megestrol	megestrol	4	2.1; 2.2; 2.3; 2.4	Regression of endometrial hyperplasia (with or without atypia) to proliferative, secretory or atrophic endometrium; Recurrence of endometrial hyperplasia; Progression of endometrial hyperplasia to endometrial cancer; Hysterectomy rate	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD012214_metformin_hyperplasia.pdf	CD012214_metformin_hyperplasia	3	Metformin plus levonorgestrel (intrauterine system) versus levonorgestrel (intrauterine system)	Metformin plus levonorgestrel (intrauterine system) versus levonorgestrel (intrauterine system)	metformin plus versus levonorgestrel intrauterine system	metformin plus levonorgestrel intrauterine system versus levonorgestrel intrauterine system	main_comparison	.	Metformin plus levonorgestrel (intrauterine system)	levonorgestrel (intrauterine system)	metformin plus	levonorgestrel intrauterine system	intrauterine; levonorgestrel; system	5	3.1; 3.2; 3.3; 3.4; 3.5	Regression of endometrial hyperplasia (with or without atypia) to proliferative, secretory, or atrophic endometrium; Progression of endometrial hyperplasia to endometrial cancer; Hysterectomy rate; Abnormal uterine bleeding; Adverse effects during treatment	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD014762_nsaids_uti.pdf	CD014762_nsaids_uti	1	Primary outcomes	Primary outcomes	primary outcomes	primary outcomes	main_comparison	.	.	.	.	.	.	3	1.1; 1.2; 1.3	Short- term resolution of symptoms (days 1 to 4 after randomisation); Medium- term resolution of symptoms (days 5 to 10 after randomisation); Adverse events (to day 30 after randomisation)	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD014762_nsaids_uti.pdf	CD014762_nsaids_uti	2	Secondary outcomes	Secondary outcomes	secondary outcomes	secondary outcomes	main_comparison	.	.	.	.	.	.	5	2.1; 2.2; 2.3; 2.4; 2.5	Duration of symptoms [days]; Severity of symptoms; Microbiological resolution (by day 10 after randomisation); Use of rescue antibiotic treatment (by day 30 after randomisation); Emergence of antibiotic resistant bacteria	Automatic comparison grouping from analysis_id and comparison label.	unverified
