Study,Year,Data source,ID: CRS,Char: Patient sampling,Char: Patient characteristics and setting,Char: Index test,Char: Target condition and reference standard(s),Char: Flow and timing,Char: Comparative,Char: Notes,Cov: Year,Cov: Continent,Cov: Type of study report,Cov: Study design,Cov: Randomized/non-randomized,Cov: Total number of patients,Cov: Patients analyzed,Cov: Exclusion criteria,Cov: Age,Cov: % male,Cov: Race,Cov: % cirrhosis,Cov: % HCV,Cov: % HBV,Cov: % alcoholic aetiology,Cov: % NAFLD,Cov: MELD,Cov: % Child Pugh A,Cov: % Child Pugh B,Cov: % Child Pugh C,Cov: % Child Pugh B+C,Cov: % CSPH,Cov: % SPH,Cov: Operator,Cov: Index test 1,Cov: Index test 2,Cov: Combination,Cov: Blinding the operators (HVPG),Cov: Blinding the operators (LSM/SSM),Cov: Time interval LSM/SSM-HVPG,Cov: Type of probe used,Cov: % oesophageal varices,Cov: Viral (HBV+HCV),Cov: Viral aetiology more than 80%,Cov: CSPH more than 50%,Cov: SPH more than 25%,Cov: Child Pugh A more than 75%,Cov: SSM VCTE only - LSM 50Hz vs SSM 100Hz,Cov: SSM VCTE only (LSM 50Hz) - M probe vs XL probe,Cov: Unsuccessful or indeterminate results more than 20%,Cov: Index test 3,Cov: Index test 4
Attia 2015,2015,PUB,26589916,"<p>""94 consecutive patients with known progressive chronic liver disease and laboratory and sonographic evidence of portal hypertension underwent ARFI examination, then HVPG. A total of 78 patients were enrolled in the study (mean age: 53 ± 13 years; 62 % male). &nbsp;Liver cirrhosis was histologically confirmed in 67 patients (86 %). The majority of patients suffered from alcoholic liver disease (40 %) and Child-Pugh A was present in 22 patients (27%). &nbsp;70/78 of patients had CSPH, and 62/78 had SPH. Patients with an unsuccessful HVPG measurement, insufficient liver biopsy specimen (biopsy size &lt; 15 mm, 6 – 8 portal tracts), idiopathic portal hypertension, portal vein thrombosis, Budd-Chiari syndrome, heart congestion, hepatocellular carcinoma, obstructive cholestasis, acute liver failure or acute on chronic liver disease were excluded from the study.""</p>","<p>""Patients with chronic liver disease presented at Endoscopy Unit of the Gastroenterology, Hepatology and Endocrinology Department, Hannover Medical School, Germany, between August 2011 and August 2013. The inclusion criteria were patients with laboratory and sonographic evidence of portal hypertension.""</p>",<p>LSM and SSM by pSWE (ARFI). The cut-off value was not pre-specified. The investigators were blinded for the results of index tests and reference standard.</p>,"<p>Target conditions: CSPH and SPH, reference standard: HVPG. The investigators were blinded for the results of index tests and reference standard.</p>",<p>Both index tests and reference standard was perfomed on the same day.</p>,,<p>No report of conflict of interests and funding.</p>,2015.0,Europe,Full-text,Prospective,Non-randomized,94.0,78.0,No exclusion criteria met,53.0,62.0,No data,86.0,,,40.0,,14.0,27.0,59.0,14.0,73.0,70.0,62.0,Experienced physicians,LSM by pSWE,SSM by pSWE,None,Yes,Yes,< one week,Not VCTE,76.0,15.0,No,Yes,Yes,No,No SSM analysis,No SSM analysis,No,None,None
Augustin 2015,2015,PUB,26589918,"<p>""All patients coming to the clinics were visited with a recent (less than 1 month old) routine blood analysis and abdominal ultrasonography (US) ordered by either the community referring physician or by the usual treating doctor from our Unit. Liver surface was assessed using high-frequency (5–10 MHz) broadband linear array transducers. Spleen size was determined as spleen bipolar diameter (across the spleen hilium), using multifrequency (1–8 MHz) convex probes. Splenomegaly was defined as spleen diameter over 12 cm. The consistency of ultrasound parameters was further verified independently by 2 of the investigators (SA, JG), who reviewed all the patient’s US images at the moment of the first visit.""</p><p>""At baseline (the moment of the first visit), all patients underwent a regular consultation (review of medical history, current symptoms and physical examination). Exclusion criteria to enter the study were: (1) past or present episode of clinical decompensation (ascites, variceal hemorrhage or hepatic encephalopathy); (2) known esophageal varices; (3) known hepatocellular carcinoma; and/ or (4) evident collateral circulation on previous imaging studies. If none of these criteria were met, the patient was asked to be included in the study cohort and to undergo a liver stiffness (LS) measurement through TE (Fibroscan, Echosens, Paris, France) performed by a single operator with experience in more than 500 procedures (LM). Only those Patients with LS P13.6 kPa entered the diagnostic study and were further evaluated by upper endoscopy and HVPG measurement. Both procedures were performed according to the standard of practice in our center as described previously and in accordance with the recommended standards.""</p>","<p>""A prospective, longitudinal, single-center observational study was performed to evaluate the feasibility and accuracy of a systematic strategy based on simple routine parameters and LS measurements, with the specific aim of identifying patients with portal hypertension in an early phase (i.e., without high-risk varices) among a large cohort of all consecutive patients with asymptomatic chronic liver disease in an outpatient clinical setting. For this purpose, we considered all consecutive patients with chronic liver disease coming to our outpatient clinics between January 2010 and April 2012. Our outpatient clinics are part of a specialized Liver Unit in a tertiary university hospital in downtown Barcelona, Spain, that serves as the reference center for chronic liver disease (including cirrhosis and its complications) for an area with a population of approximately 450,000 people.""</p>",<p>LSM by VCTE. The cut-off value was pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>",<p>HVPG measurements were performed in a fasted state also within 1 month from the initial consultation with the patient.</p>,,"<p>""The authors who have taken part in this study declared that they do not have anything to disclose regarding funding or conflict of interest with respect to this manuscript.""</p><p>""Salvador Augustin was a recipient of a Río Hortega fellowship grant from the Instituto de Salud Carlos III and a Juan Rodés grant from the Asociación Española para el Estudio del Hígado during the study period. The study was partially funded by grant SAF2009-08354 from Ministerio de Ciencia e Innovación and PI12/01759 from Instituto de Salud Carlos III. CIBERehd is supported by Instituto de Salud Carlos III.""</p>",2015.0,Europe,Full-text,Prospective,Non-randomized,250.0,40.0,No exclusion criteria met,,,No data,,,,,,,,,,,65.0,,Experienced physicians,LSM by VCTE,None,None,No data,No data,> one week,Non-specified,,,No data on viral aetiology prevalence,Yes,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No data,None,None
Banini 2022,2022,PUB,26589920,"<p>""A single-center retrospective cohort study of consecutive adults (age 18 y and above) with chronic liver disease referred for transjugular liver biopsy (TJLB) at Virginia Commonwealth University was performed. Patients in the derivation cohort were referred for TJLB between October 2016 and March 2019. Patients without VCTE and FIB-4 data were excluded. Other exclusion criteria were: history of liver transplant, liver cancer, interquartile range/median &gt; 30%, infiltrative disease on liver biopsy, pregnant women, patients with cardiac failure, and/or significant valvular disease.""</p><p>""A total of 142 consecutive adult patients met inclusion criteria and were analyzed. The majority (61.3%) were female, with mean age 55.3 ± 11.3 years. The most common etiology of chronic liver disease was NAFLD (64.8%). HVPG identified 11.3% of patients as having CSPH.""</p>","<p>""Adults (age 18 y and above) with chronic liver disease referred for transjugular liver biopsy (TJLB) at Virginia Commonwealth University.""</p><p>""A total of 142 consecutive adult patients met inclusion criteria and were analyzed. The majority (61.3%) were female, with mean age 55.3 ± 11.3 years. The most common etiology of chronic liver disease was NAFLD (64.8%). HVPG identified 11.3% of patients as having CSPH."" A total of 2.1% of participants had PBC.""</p>",<p>LSM and SSM by VCTE. The cut-off values were not pre-specified. The investigators were blinded for the results of index tests and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. The investigators were blinded for the results of index tests and reference standard.</p>",<p>No information on interval between index test and reference standard.</p>,,<p>Authors declared no conflicts of interest.</p>,2022.0,Other,Full-text,Retrospective,Non-randomized,232.0,142.0,Cholestatic liver disease,55.0,38.7,No data,42.3,16.2,1.4,1.4,64.8,,,,,,11.3,,Experienced physicians,LSM by VCTE,None,None,Yes,Yes,< one week,LSM@50Hz probe M-XL,,17.6,No,No,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No data,None,None
Borghi 2012,2012,PUB,26589922,"<p>""40 consecutive patients with liver cirrhosis (74% males, mean age 62 y, mean Child-Purgh score A6, 19 HCV+, 9 with ascites, mostly mild) underwent ARFI stiffness measurement (10 measurements in the right liver lobe and 20 measurements in the spleen, half in the upper and half in the lower regions) and HPVG measurement, blindly to each other. There is no data on exclusion criteria for participant's selection.""</p>","<p>""40 consecutive patients with liver cirrhosis (74% males, mean age 62 y, mean Child-Purgh score A6, 19 HCV+, 9 with ascites, mostly mild) underwent ARFI stiffness measurement (10 measurements in the right liver lobe and 20 measurements in the spleen, half in the upper and half in the lower regions) and HPVG measurement, blindly to each other. There is no data on exclusion criteria for participant's selection.""</p>",<p>SSM by pSWE. The cut-off value was not pre-specified. The investigators were blinded for the results of index tests and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. The investigators were blinded for the results of index tests and reference standard.</p>",<p>No information on interval between index test and reference standard.</p>,,<p>No report of conflict of interests and funding.</p>,2012.0,Europe,Abstract,Retrospective,Randomized,40.0,40.0,No data,62.0,74.0,No data,100.0,47.5,,,,,,,,,70.0,,No data,SSM by pSWE,None,None,Yes,Yes,No data,Not VCTE,,,No,Yes,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No,None,None
Bureau 2008,2008,PUB,26589924,"<p>""All patients with liver biopsy because of chronic liver abnormalities were considered for inclusion. Only patients with portal vein thrombosis or Budd–Chiari syndrome were excluded from this study.""</p><p>""One hundred and fifty consecutive patients were included. HVPG was higher than 10 mmHg in 76 patients (51%). Cirrhosis was diagnosed in 89 patients (59%) of whom 68 (77%) had compensated cirrhosis. LS could be measured in 144 ⁄ 150 (96%). Aetiologies of chronic liver disease include: alcohol (34%), viral hepatitis (31%), mixed (alcohol + virus (5%), NASH (7%), autoimmune hepatitis (7%), cholestatic disease (4%), miscellaneous (12%).""</p>","<p>""Between 15 November 2005 and 15 October 2006, liver stiffness was prospectively measured by Fibroscan in all patients who underwent a trans-jugular liver biopsy with haemodynamic measurements.""</p><p>""One hundred and fifty consecutive patients were included. HVPG was higher than 10 mmHg in 76 patients (51%). Cirrhosis was diagnosed in 89 patients (59%) of whom 68 (77%) had compensated cirrhosis. LS could be measured in 144 ⁄ 150 (96%). Aetiologies of chronic liver disease include: alcohol (34%), viral hepatitis (31%), mixed (alcohol + virus (5%), NASH (7%), autoimmune hepatitis (7%), cholestatic disease (4%), miscellaneous (12%).""</p>",<p>LSM by VCTE. The cut-off values were not pre-specified. The investigators were blinded for the results of index tests and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. The investigators were blinded for the results of index tests and reference standard.</p>","<p>Liver stiffness, hemodynamic measurement (HVPG) and liver biopsy were performed on the same day.</p>",,"<p>""Declaration of personal interests: None. Declaration of funding interests: This work was funded by CHU de Toulouse’, a grant from ‘‘Programme Activite´s Nouvelles.’’""</p>",2008.0,Europe,Full-text,Prospective,Non-randomized,150.0,144.0,Cholestatic liver disease,55.0,60.0,No data,59.0,,,34.0,7.0,,30.0,38.0,21.0,59.0,51.0,,No data,LSM by VCTE,None,None,Yes,Yes,< one week,Non-specified,72.0,31.0,No,Yes,No SPH analysis,No,No SSM analysis,No SSM analysis,No,None,None
Chandan 2012,2012,PUB,26589926,"<p>""TE was performed in consecutive patients of portal hypertension undergoing liver biopsy and HVPG.""</p><p>""Total 108 patients were included. The etiology of liver disease was cryptogenic in 40 (37%), viral in 32 (30%), alcohol in 6 (6%), and rest had other etiologies. Liver biopsy was available in 107 patients. In them, 64 (69%) patients had stage-4 fibrosis.""</p><p>There was no data on exclusion criteria for participant's selection.</p>","<p>""Total 108 patients were included. The etiology of liver disease was cryptogenic in 40 (37%), viral in 32 (30%), alcohol in 6 (6%), and rest had other etiologies. Liver biopsy was available in 107 patients. In them, 64 (69%) patients had stage-4 fibrosis.""</p>",<p>LSM by VCTE. The cut-off values were not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: SPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>",<p>No information on interval between index test and reference standard.</p>,,<p>No report of conflict of interests and funding.</p>,2012.0,Other,Abstract,Retrospective,Non-randomized,108.0,108.0,No data,,,No data,69.0,,,6.0,,,,,,,,62.0,No data,LSM by VCTE,None,None,No data,No data,No data,Non-specified,,30.0,No,No CSPH analysis,Yes,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No data,None,None
Colecchia 2012,2012,PUB,26589928,"<p>""A total of 141 newly diagnosed patients with HCV-related chronic liver disease were consecutively considered for inclusion in the study. Of these, 11 were excluded because of the presence of complications (2 hepatocellular carcinoma, 1 portal vein thrombosis, 5 moderate-severe ascites, 3 esophageal bleeding) and 17 were excluded because the diagnosis of cirrhosis was not confirmed at histopathologic examination. Therefore, a total of 113 patients with HCV-related cirrhosis without clinically evident complications, mainly the presence of significant ascites known to limit the performance of TE, were finally enrolled. Patients were accurately selected using clinical, biochemical (platelet count, international normalized ratio, prothrombin time, aspartate aminotransferase [AST], alanine aminotransferase [ALT], albumin, bilirubin, pseudocholinesterase, total cholesterol), and US parameters (ie, liver margins; size of left, right, and caudate lobes; spleen bipolar diameter; anteroposterior diameter of the portal trunk; portal vein flow; hepatic vein flow; and resistance index). Liver biopsy was necessary in 22 cases (19.5%) to confirm the diagnosis of cirrhosis. No patient enrolled in the study had significant ascites at clinical examination, acute liver disease, coinfection with hepatitis B virus or human immunodeficiency virus, metabolic liver disease, autoimmune hepatitis, or biliary tract disorders. Furthermore, no patient was under treatment with antivirals, beta-blockers, or diuretics at the time of the study. The presence of alcohol abuse within the 6 months preceding the study was excluded in all patients. In addition, clinical conditions potentially affecting TE (eg, cardiac failure) or in which this technique is contraindicated (eg, pregnancy) were also excluded.""</p>","<p>""The study was performed in a tertiary center: the Department of Clinical Medicine of the University of Bologna (Italy), between September 2009 and February 2011. Participants with HCV-related cirrhosis were considered for study.""</p>",<p>LSM and SSM by VCTE. The cut-off values were not pre-specified. The investigators were blinded for the results of index tests and reference standard. The investigators provided results other than reported.</p>,"<p>Target condition: CSPH and SPH, reference standard: HVPG. The investigators were blinded for the results of index tests and reference standard.</p>","<p>""Each patient was studied according to a 3-day protocol as follows: day 1 included clinical and biochemical evaluation, complete abdominal US, and measurement of LS and SS by TE; day 2 included measurement of HVPG; and day 3 included upper digestive endoscopy. The study protocol was completed within 1 week in all patients. All operators worked independently and were blinded to the patients’ other instrumental, clinical, and laboratory data.""</p>",,<p>Authors declared no conflicts of interest.</p>,2012.0,Europe,Full-text,Prospective,Non-randomized,141.0,100.0,No exclusion criteria met,54.0,71.0,No data,100.0,100.0,0.0,0.0,0.0,,68.0,32.0,0.0,32.0,65.0,54.0,Experienced physicians,LSM by VCTE,SSM by VCTE,None,Yes,Yes,< one week,LSM@50Hz probe M-XL,53.0,100.0,Yes,Yes,No SPH analysis,No,No SSM analysis,No SSM analysis,No,None,None
Corina 2018,2018,PUB,26589930,"<p>""81 consecutive patients with advanced liver disease referred to HVPG measurement and concomitant LSM by 2D-SWE. GE and TE were included. CSPH was found in 57 (70%) of patients.""</p><p>There is no data on exclusion criteria of participant's selection.</p>","<p>""81 consecutive patients with advanced liver disease referred to HVPG measurement and concomitant LSM by 2D-SWE. GE and TE were included. CSPH was found in 57 (70%) of patients.""</p>",<p>LSM by 2D-SWE. The cut-off value was not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>",<p>No information on interval between index test and reference standard.</p>,,"<p>""Study was supported by a national grant (PN-II-RU-TE-2014-4- 0356).""</p>",2018.0,Europe,Abstract,Retrospective,Non-randomized,81.0,81.0,No data,,,No data,,,,,,,,,,,70.0,,No data,LSM by 2D-SWE,None,None,No data,No data,No data,Not VCTE,42.0,,No data on viral aetiology prevalence,Yes,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No data,None,None
Dajti 2022,2022,PUB,26589932,"<p>""A total of 317 patients, both derivation and validation cohort, had paired measurements of HVPG, SSM and LSM during the study period. A total of 195 patients were included. Most of the patients were male (68.7%), and the median age of 59 (49-70) years. The most common etiologies were viral (55.9%) and metabolic dysfunction associated fatty liver disease (MAFLD) (35.4%). The median HVPG was 11 (9-14) mmHg, and 122 (62.5%) patients had CSPH; the median time interval between the HVPG and TE evaluation was 1.8 (1-3.9) months. Exclusion criteria were a previous episode of hepatic decompensation, an interval between HVPG and TE &gt;6 months and ongoing treatment with NSBB at the time of diagnostic workup.""</p>","<p>""This is a retrospective study in patients with cACLD (defined by LSM ≥10 kPa), and paired measurements available with HVPG, LSM and SSM, as measured by transient elastography (TE) referred to our tertiary centres. The derivation cohort was enrolled in 2013-2018 in the Gastroenterology Unit, University of Bologna (Italy) and the validation cohort was enrolled in the Gastroenterology Unit, University of Verona (Italy) in 2017-2019.""</p>",<p>LSM by VCTE. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>""The median time interval between the HVPG and VCTE evaluation was 1.8 (1-3.9) months.""</p>",,<p>The authors declare that they have no conflict of interest. No grants or other financial support.</p>,2022.0,Europe,Full-text,Retrospective,Non-randomized,317.0,195.0,No exclusion criteria met,59.0,68.7,No data,100.0,,,17.9,35.4,8.0,100.0,0.0,0.0,0.0,62.5,,Experienced physicians,LSM by VCTE,None,None,No data,No data,> one week,LSM@50Hz probe M,50.8,55.9,No,Yes,No SPH analysis,Yes,No SSM analysis,No SSM analysis,No data,None,None
Gomez-Escolar 2013,2013,PUB,26589934,"<p>""Liver stiffness was measured by TE in fifty-eight chronic liver disease patients who underwent a haemodynamic measurements. In 51 patients, 87% have clinically significant portal hypertension (HVPG&gt;10 mmHg). There is no data on exclusion criteria of participant's selection.""</p>","<p>""Liver stiffness was measured by TE in fifty-eight chronic liver disease patients who underwent a haemodynamic measurements.""</p>",<p>LSM by VCTE. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>No information on interval between index test and reference standard. 58 participants were screened, 51 were included without explanation.</p>",,<p>No report of conflict of interests and funding.</p>,2013.0,Europe,Abstract,Prospective,Non-randomized,58.0,51.0,No data,,,No data,,,,,,,,,,,87.0,,No data,LSM by VCTE,None,None,No data,No data,No data,Non-specified,,,No data on viral aetiology prevalence,Yes,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No data,None,None
