review_group	review_pdf	review_id	study_label	report_index	candidate_type	candidate_text	query_text	matched_pmids	pmcids	n_pmids	n_pmcids	has_pubmed	has_pmc	lookup_methods	lookup_errors	pubmed_titles	reference_excerpt
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	ACTRN12621000247875 2021	1	nct_id	ACTRN12621000247875	ACTRN12621000247875	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	Assessing the efficacy of treatment with vitamin C, vitamin B1 and hydrocortisone in children admitted in intensive care unit with septic shock. Australian New Zealand Clinical Trials Registry 2021. [ANZCTR: ACTRN12621000247875]
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Asehnoune 2014	1	explicit_pmid	25066331	25066331	25066331	.	1	0	yes	no	direct_pubmed_link	.	.	Asehnoune K, Seguin P, Allary J, Feuillet F, Lasocki S, Cook F, et al. Hydrocortisone and fludrocortisone for prevention of hospital-acquired pneumonia in patients with severe traumatic brain injury (Corti-TC): a double-blind, multicentre phase 3, randomised placebo-controlled trial. Lancet. Respiratory Medicine 2014;2:706-16. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Bernard 1987	1	explicit_pmid	3317054	3317054	3317054	.	1	0	yes	no	direct_pubmed_link	.	.	Bernard GR, Luce JM, Sprung CL, Rinaldo JE, Tate RM, Sibbald WJ, et al. High-dose corticosteroids in patients with the adult respiratory distress syndrome. New England Journal of Medicine 1987;317:1565-70. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Cicarelli 2006	1	explicit_pmid	16878192	16878192	16878192	PMC11060357	1	1	yes	yes	direct_pubmed_link	.	.	Cicarelli DD, Bensenor FEM, Vieira JE. Effects of single dose of dexamethasone on patients with systemic inflammatory response. São Paulo Medical Journal 2006;124(2):90-5. [PMID: ] - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	CTRI/2021/11/038268 2021	1	nct_id	CTRI/2021/11/038268	CTRI/2021/11/038268	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	To compare the results of two treatment protocol (standard treatment plus vitamin C, thiamine and hydrocortisone versus standard treatment plus hydrocortisone) used in surgical patients with septic shock (A/K/A Infection in the body presenting with low blood pressure. Chinese Clinical Trials Registry 2021. [CHICTR: CTRI/2021/11/038268]
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Fan 2019	1	doi	10.1016/j.chest.2019.08.874	"""10.1016/j.chest.2019.08.874""[AID]"	.	.	0	0	no	no	.	title_search_no_match	.	Fan K, Ronaghi R, Rees J, Baghdasaryan P, Tang J, Lee M, et al. The effect of using vitamin C, hydrocortisone, and thiamine triple therapy in the treatment of septic shock. Chest 2019;156(4):A944. [DOI: 10.1016/j.chest.2019.08.874] - DOI
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Fujii 2020	1	explicit_pmid	31950979	31950979	31950979	PMC7029761	1	1	yes	yes	direct_pubmed_link	.	.	Fujii T, Luethi N, Young PJ, Frei DR, Eastwood GM, French CJ, et al. Effect of vitamin C, hydrocortisone, and thiamine vs hydrocortisone alone on time alive and free of vasopressor support among patients with septic shock: the VITAMINS randomized clinical trial. JAMA 2020;323(5):423‐31. [DOI: 10.1001/jama.2019.22176] - DOI - PMC - PubMed NCT03333278. The vitamin C, hydrocortisone and thiamine in patients with septic shock trial (VITAMINS) [The vitamin C, hydrocortisone and thiamine in patients with septic shock trial (VITAMINS Trial) - a prospective, feasibility, pilot, multi-centre, randomise
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Fujii 2020	2	nct_id	NCT03333278	NCT03333278	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	Fujii T, Luethi N, Young PJ, Frei DR, Eastwood GM, French CJ, et al. Effect of vitamin C, hydrocortisone, and thiamine vs hydrocortisone alone on time alive and free of vasopressor support among patients with septic shock: the VITAMINS randomized clinical trial. JAMA 2020;323(5):423‐31. [DOI: 10.1001/jama.2019.22176] - DOI - PMC - PubMed NCT03333278. The vitamin C, hydrocortisone and thiamine in patients with septic shock trial (VITAMINS) [The vitamin C, hydrocortisone and thiamine in patients with septic shock trial (VITAMINS Trial) - a prospective, feasibility, pilot, multi-centre, randomise
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Hahn 1951	1	explicit_pmid	14824277	14824277	14824277	PMC436257	1	1	yes	yes	direct_pubmed_link	.	.	Hahn EO, Houser HB, Rammelkamp CH, Denny FW, Wannamaker LW. Effect of cortisone on acute streptococcal infections and post-streptococcal complications. Journal of Clinical Investigation 1951;30:274-81. - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Huang 2014a	1	explicit_pmid	24710342	24710342	24710342	.	1	0	yes	no	direct_pubmed_link	.	.	Huang L, Gao X, Chen M. Early treatment with corticosteroids in patients with mycoplasma pneumoniae pneumonia: a randomized clinical trial. Journal of Tropical Pediatrics 2014;64:338-42. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Huang 2015	1	explicit_pmid	25307976	25307976	25307976	.	1	0	yes	no	direct_pubmed_link	.	.	Huang G, Liang B, Liu G, Liu K, Ding Z. Low dose of glucocorticoid decreases the incidence of complications in severely burned patients by attenuating systemic inflammation. Journal of Critical Care 2015;436:436.e7-11. - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Hughes 1984	1	explicit_pmid	6390057	6390057	6390057	.	1	0	yes	no	direct_pubmed_link	.	.	Hughes GS Jr. Naloxone and methylprednisolone sodium succinate enhance sympathomedullary discharge in patients with septic shock. Life Sciences 1984;35(23):2319-26. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Hussein 2021	1	explicit_pmid	34003568	34003568	34003568	.	1	0	yes	no	direct_pubmed_link	.	.	Hussein AA, Sabry NA, Abdalla MS, Farid SF. A prospective, randomised clinical study comparing triple therapy regimen to hydrocortisone monotherapy in reducing mortality in septic shock patients. International Journal of Clinical Practice 2021;75(9):e14376. [DOI: 10.1111/ijcp.14376] - DOI - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Kaufman 2008	1	explicit_pmid	17906853	17906853	17906853	.	1	0	yes	no	direct_pubmed_link	.	.	Kaufmann I, Briegel J, Schliephake F, Hoelzl A, Chouker A, Hummel T, et al. Stress doses of hydrocortisone in septic shock: beneficial effects on opsonization-dependent neutrophil functions. Intensive Care Medicine 2008;34(2):344-9. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Khan 2021	1	doi	10.53350/pjmhs211582522	"""10.53350/pjmhs211582522""[AID]"	.	.	0	0	no	no	.	title_search_no_match	.	Khan Z, Khan MH, Hussain S, Badshah J, Uddin R, Kashif M. Efficacy and safety of corticosteroids for persistent acute respiratory distress syndrome. Pakistan Journal of Medical and Health Sciences 2021;15(8):2522‐4. [DOI: 10.53350/pjmhs211582522] - DOI
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Klastersky 1971	1	explicit_pmid	4929896	4929896	4929896	.	1	0	yes	no	direct_pubmed_link	.	.	Klastersky J, Cappel R, Debusscher L. Effectiveness of betamethasone in management of severe infections. A double-blind study. New England Journal of Medicine 1971;284(22):1248-50. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Lan 2015	1	explicit_pmid	26758116	26758116	26758116	.	1	0	yes	no	direct_pubmed_link	.	.	Lan Y, Yang D, Chen Z, Tang L, Xu Y, Cheng Y. Effectiveness of methylprednisolone in treatment of children with refractory mycoplasma pneumoniae pneumonia and its relationship with bronchoalveolar lavage cytokine levels. Zhonghua Er Ke Za Zhi 2015;53:779-83. - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Lloyd 2019	1	explicit_pmid	31282921	31282921	31282921	PMC6618815	1	1	yes	yes	direct_pubmed_link	.	.	Lloyd M, Karahalios A, Janus E, Skinner EH, Haines T, De Silva A, et al. Effectiveness of a bundled intervention including adjunctive corticosteroids on outcomes of hospitalized patients with community-acquired pneumonia: a stepped-wedge randomized clinical trial. Journal of the American Medical Association Internal Medicine 2019;179(8):1052‐60. [DOI: 10.1001/jamainternmed.2019.1438] - DOI - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Lucas 1984	1	explicit_pmid	6712466	6712466	6712466	.	1	0	yes	no	direct_pubmed_link	.	.	Lucas C, Ledgerwood A. The cardiopulmonary response to massive doses of steroids in patients with septic shock. Archives of Surgery 1984;119(5):537-41. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Luo 2014	1	explicit_pmid	23401275	23401275	23401275	.	1	0	yes	no	direct_pubmed_link	.	.	Luo Z, Luo J, Liu E, Xu X, Liu Y, Zeng F, et al. Effects of prednisolone on refractory mycoplasma pneumoniae pneumonia in children. Pediatric Pulmonology 2014;49:377-80. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Malaska 2022	1	explicit_pmid	35033182	35033182	35033182	PMC8760569	1	1	yes	yes	direct_pubmed_link	.	.	Malaska J, Stasek J, Duska F, Maca J, Hruda J, Klementova O, et al. Effect of dexamethasone in patients with ARDS and COVID-19 (REMED Trial) - prospective, multi-centre, open-label, parallel-group, randomized controlled trial. Trials 2022;10:35. [DOI: 10.1186/s40635-022-00468-1] - DOI - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Marik 1993	1	explicit_pmid	8339624	8339624	8339624	.	1	0	yes	no	direct_pubmed_link	.	.	Marik P, Kraus P, Sribante J, Havlik I, Lipman J, Johnson DW. Hydrocortisone and tumour necrosis factor in severe community-acquired pneumonia. A randomized controlled study. Chest 1993;104:389-92. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	McKee 1983	1	explicit_pmid	6131207	6131207	6131207	.	1	0	yes	no	direct_pubmed_link	.	.	McKee JI, Finlay WE. Cortisol replacement in severely stressed patients. Lancet 1983;1(8322):484. [PMID: ] - PubMed
