Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Abou El Fadl 2021,Low risk,<p>A computer random number generator program was used.</p>,Low risk,"<p>Participant randomization assignment was kept in a sealed, signed, and dated envelopes.</p>",High risk,"<p>The placebo for the comparison group was mentioned in the study protocol, but not in the published report, hence it was unclear if it contributed to bias in assessments. Since this was an open label study, unblinded to the parents, medical team, and investigators, it was considered to be high risk for performance bias. </p>",Unclear risk,"<p>Though the authors state that operating personnel were blinded to group assignment, this was an open-label randomized trial. Hence, the length of stay outcome assessment could potentially have been affected by this bias.</p>",Low risk,<p>No attrition noted.</p>,Unclear risk,"<p>The outcomes mentioned in the study protocol are very limited and does not include the list reported in the published manuscript, which suggests some bias in reporting.</p>",Unclear risk,"<p>The outcomes are very limited, which suggests some bias in reporting. All the reported cases of necrotizing enterocolitis belonged to stage 1, which belonged to suspected, but not confirmed categories.</p>"
Baack 2016,Unclear risk,<p>The method of randomization is not mentioned.</p>,Unclear risk,<p>The method of allocation concealment is not mentioned.</p>,Low risk,"<p>In this double-blind study, the intervention and comparison oils were dispensed in blinded fashion in amber colored syringes by the hospital pharmacy.</p>",Low risk,"<p>It is not clear how the personnel analyzing the data were blinded to the outcomes. This study contributed feeding intolerance and infection to the metanalysis. However, there were no episodes of feeding intolerance in either groups.</p>",Low risk,<p>No attrition bias noted.</p>,Low risk,<p>No reporting bias noted.</p>,Low risk,<p>No other bias noted.</p>
Bernabe-Garcia 2019,Low risk,<p>Random allocation software was used with block sizes of 10 patients on a 1:1 ratio</p>,Low risk,<p>The intervention groups received a code (A or B) and were packed into opaque envelopes by a researcher who did not participate in the fieldwork</p>,Low risk,<p>All other clinical and research staff were blind to allocation.</p>,Low risk,<p>The outcome assessments were blinded.</p>,Low risk,<p>All the outcomes reported in the clinicaltrials.gov registration have been reported</p>,Low risk,<p>No reporting bias detected.</p>,Low risk,<p>No other bias detected.</p>
Bernabe-García 2021,Low risk,"<p>Randomization was performed using the Random Allocation Software version 1 for parallel groups, with a 1:1 intervention ratio and block sizes of 10 participants per birthweight (1000–1250 g and from 1251–1500 g)</p>",Low risk,<p>The intervention groups received a code (A or B) and were packed into opaque envelopes by a researcher who did not participate in the fieldwork</p>,Low risk,<p>All other clinical and research staff were blind to allocation</p>,Low risk,"<p>It is not clearly mentioned that the outcome assessments were blinded. However, since mortality, an objective outcomes was the only one contributed by this study, it was deemed low risk of bias</p>",Low risk,<p>None noted</p>,Unclear risk,"<p>Some outcomes reported in the clinicaltrials.gov registration such as growth, and enteral tolerance have not been reported</p>",Low risk,<p>None</p>
Collins 2017,Low risk,<p>A computer-generated randomization schedule that used balanced variable blocks was prepared by an independent statistician.</p>,Low risk,<p>Web-based randomization service was utilized for allocation.</p>,Low risk,"<p>The intervention and control emulsions were identical in viscosity, color, packaging, and labeling. Participants and research personneld were blinded to assignments.</p>",Low risk,"<p>The participants, clinical, and research personnel were blinded to assignments.</p>",Low risk,<p>No bias noted.&nbsp;</p>,Low risk,<p>No bias noted</p>,Low risk,<p>No bias noted</p>
Frost 2021,Low risk,"<p>Computer generated randomization, carried out by the hospital pharmacist, not part of the clinical or research team.</p>",Low risk,"<p>Computer generated randomization by a member not part of research team, block randomization and blinding of personnel ensured low risk for bias.</p>",Low risk,"<p>Blinded to study team, clinical team, and family, hence low risk of bias.</p>",Low risk,"<p>Blinded to study team, and clinical team.</p>",Low risk,<p>All outcomes declared during the protocol stage have been reported.</p>,Low risk,<p>None noted.</p>,Low risk,<p>No other bias detected.</p>
Hellstrom 2021,Low risk,<p>Computer generated schedule and balanced variable blocks were used.</p>,High risk,"<p>In this open-label study, the stratification was done based on gestational age and center. However, the principal investigator at each site assigned participants to interventions, hence was aware of the intervention.</p>",High risk,"<p>Since this was an open label study, unblinded to the parents, medical team, and investigators, it was considered to high risk for performance bias</p>",Low risk,"<p>However, since death was an objective outcome, the risk of bias was deemed low.</p>",Low risk,"<p>Of the relevant outcomes listed in the protcol on clinicaltrials.gov, magnetic resonance imagingbrain data are reported.</p>",Low risk,<p>The outcomes have been comprehensively reported.</p>,Low risk,<p>No other bias noted</p>
NCT01674478,Unclear risk,<p>The details of randomization were not available.</p>,Unclear risk,<p>The details of allocation concealment were not available.</p>,High risk,"<p>Open label study, unblinded to the parents, medical team, and investigators.</p>",Low risk,"<p>Since this study contributed the only outcome of death, it was considered low risk of detection bias.</p>",Low risk,"<p>Though the results are not reported in a peer-reviewed manuscript, the authors report all the outcomes stated in the protocol for all the patients. Hence it was considered low risk of attrition bias.</p>",Low risk,"<p>Since the authors report all the outcomes stated a priori in the protocol, the risk of reporting bias was considered low.</p>",Unclear risk,"<p>Since the entire study was not published and did not undergo peer review process, the likelihood of bias cannot be ruled out.</p>"
Robinson 2016,Low risk,<p>Computer generated randomization.</p>,Low risk,<p>Group assignment and dose preparation were performed by research pharmacy staff to maintain blinding.</p>,Low risk,"<p>The investigators, clinical staff, and participating families were blinded.</p>",Low risk,"<p>The invesigators were blinded for the assignment. The outcomes of sepsis and death were objective, hence the risk of bias was low.</p>",Low risk,<p>All outcomes are reported as mentioned a priori.</p>,Low risk,<p>Reporting is comprehensive.</p>,Low risk,<p>No other bias noted.</p>
Wendel 2023,Low risk,"<p>Computed-generated list of random numbers, subsequently block-randomization by size of 4, 6, or 8.</p>",Low risk,"<p>Computed-generated list of random numbers, subsequently block-randomization by size of 4, 6, or 8. After randomization, study pharmacist prepared the oils. The oil assignment was blinded to everyone except the study pharmacist.</p>",Low risk,"<p>The study allocation was blinded to all participants, investigators, and staff.</p>",Low risk,"<p>All participants, investigators, and staff were blinded.</p>",Low risk,<p>All participants and outcomes are accounted for adequately.</p>,Low risk,<p>All outcomes described in the protocol have been accounted for adequately.</p>,Low risk,<p>None</p>
